uniq_isos	iso_ensts	iso_ensgs	iso_ensgvs	iso_gnames	iso_descs	filtered	regulator
MARC1	MARC1	ENSG00000186205	MARC1	MARC1	gene	0	0
MARCH1	MARCH1	ENSG00000145416	MARCH1	MARCH1	gene	0	0
MARC2	MARC2	ENSG00000117791	MARC2	MARC2	gene	0	0
MARCH2	MARCH2	ENSG00000099785	MARCH2	MARCH2	gene	0	0
MARCH3	MARCH3	ENSG00000173926	MARCH3	MARCH3	gene	0	0
MARCH4	MARCH4	ENSG00000144583	MARCH4	MARCH4	gene	0	0
MARCH5	MARCH5	ENSG00000198060	MARCH5	MARCH5	gene	0	0
MARCH6	MARCH6	ENSG00000145495	MARCH6	MARCH6	gene	0	0
MARCH7	MARCH7	ENSG00000136536	MARCH7	MARCH7	gene	0	0
MARCH8	MARCH8	ENSG00000278545	MARCH8	MARCH8	gene	0	0
MARCH9	MARCH9	ENSG00000139266	MARCH9	MARCH9	gene	0	0
MARCH10	MARCH10	ENSG00000173838	MARCH10	MARCH10	gene	0	0
MARCH11	MARCH11	ENSG00000183654	MARCH11	MARCH11	gene	0	0
SEPT1	SEPT1	ENSG00000180096	SEPT1	SEPT1	gene	0	0
SEPT2	SEPT2	ENSG00000168385	SEPT2	SEPT2	gene	0	0
SEPT3	SEPT3	ENSG00000100167	SEPT3	SEPT3	gene	0	0
SEPT4	SEPT4	ENSG00000108387	SEPT4	SEPT4	gene	0	0
SEPT5	SEPT5	ENSG00000184702	SEPT5	SEPT5	gene	0	0
SEPT6	SEPT6	ENSG00000125354	SEPT6	SEPT6	gene	0	0
SEPT7	SEPT7	ENSG00000122545	SEPT7	SEPT7	gene	0	0
SEPT8	SEPT8	ENSG00000164402	SEPT8	SEPT8	gene	0	0
SEPT9	SEPT9	ENSG00000282302	SEPT9	SEPT9	gene	0	0
SEPT10	SEPT10	ENSG00000186522	SEPT10	SEPT10	gene	0	0
SEPT11	SEPT11	ENSG00000138758	SEPT11	SEPT11	gene	0	0
SEPT12	SEPT12	ENSG00000140623	SEPT12	SEPT12	gene	0	0
SEPT14	SEPT14	ENSG00000154997	SEPT14	SEPT14	gene	0	0
SEP15	SEP15	unmapped-none	SEP15	SEP15	gene	0	0
DEC1	DEC1	ENSG00000173077	DEC1	DEC1	gene	0	0
1/2-SBSRNA4	1/2-SBSRNA4	unmapped-none	1/2-SBSRNA4	1/2-SBSRNA4	gene	0	0
A1BG	A1BG	ENSG00000121410	A1BG	A1BG	gene	0	0
A1BG-AS1	A1BG-AS1	ENSG00000268895	A1BG-AS1	A1BG-AS1	gene	0	0
A1CF	A1CF	ENSG00000148584	A1CF	A1CF	gene	0	0
A2LD1	A2LD1	unmapped-none	A2LD1	A2LD1	gene	0	0
A2M	A2M	ENSG00000175899	A2M	A2M	gene	0	0
A2ML1	A2ML1	ENSG00000166535	A2ML1	A2ML1	gene	0	0
A4GALT	A4GALT	ENSG00000128274	A4GALT	A4GALT	gene	0	0
A4GNT	A4GNT	ENSG00000118017	A4GNT	A4GNT	gene	0	0
AA06	AA06	ENSG00000265544	AA06	AA06	gene	0	0
AAA1	AAA1	unmapped-none	AAA1	AAA1	gene	0	0
AAAS	AAAS	ENSG00000094914	AAAS	AAAS	gene	0	0
AACS	AACS	ENSG00000081760	AACS	AACS	gene	0	0
AADAC	AADAC	ENSG00000114771	AADAC	AADAC	gene	0	0
AADACL2	AADACL2	ENSG00000261846	AADACL2	AADACL2	gene	0	0
AADACL3	AADACL3	ENSG00000188984	AADACL3	AADACL3	gene	0	0
AADACL4	AADACL4	ENSG00000204518	AADACL4	AADACL4	gene	0	0
AADAT	AADAT	ENSG00000109576	AADAT	AADAT	gene	0	0
AAGAB	AAGAB	ENSG00000103591	AAGAB	AAGAB	gene	0	0
AAK1	AAK1	ENSG00000115977	AAK1	AAK1	gene	0	0
AAMP	AAMP	ENSG00000127837	AAMP	AAMP	gene	0	0
AANAT	AANAT	ENSG00000129673	AANAT	AANAT	gene	0	0
AARS	AARS	ENSG00000090861	AARS	AARS	gene	0	0
AARS2	AARS2	ENSG00000124608	AARS2	AARS2	gene	0	0
AARSD1	AARSD1	ENSG00000266967	AARSD1	AARSD1	gene	0	0
AASDH	AASDH	ENSG00000157426	AASDH	AASDH	gene	0	0
AASDHPPT	AASDHPPT	ENSG00000149313	AASDHPPT	AASDHPPT	gene	0	0
AASS	AASS	ENSG00000008311	AASS	AASS	gene	0	0
AATF	AATF	ENSG00000276072	AATF	AATF	gene	0	0
AATK	AATK	ENSG00000181409	AATK	AATK	gene	0	0
AATK-AS1	AATK-AS1	ENSG00000225180	AATK-AS1	AATK-AS1	gene	0	0
ABAT	ABAT	ENSG00000183044	ABAT	ABAT	gene	0	0
ABCA1	ABCA1	ENSG00000165029	ABCA1	ABCA1	gene	0	0
ABCA10	ABCA10	ENSG00000154263	ABCA10	ABCA10	gene	0	0
ABCA12	ABCA12	ENSG00000144452	ABCA12	ABCA12	gene	0	0
ABCA13	ABCA13	ENSG00000179869	ABCA13	ABCA13	gene	0	0
ABCA2	ABCA2	ENSG00000107331	ABCA2	ABCA2	gene	0	0
ABCA3	ABCA3	ENSG00000167972	ABCA3	ABCA3	gene	0	0
ABCA4	ABCA4	ENSG00000198691	ABCA4	ABCA4	gene	0	0
ABCA5	ABCA5	ENSG00000154265	ABCA5	ABCA5	gene	0	0
ABCA6	ABCA6	ENSG00000154262	ABCA6	ABCA6	gene	0	0
ABCA7	ABCA7	ENSG00000064687	ABCA7	ABCA7	gene	0	0
ABCA8	ABCA8	ENSG00000141338	ABCA8	ABCA8	gene	0	0
ABCA9	ABCA9	ENSG00000154258	ABCA9	ABCA9	gene	0	0
ABCB1	ABCB1	ENSG00000085563	ABCB1	ABCB1	gene	0	0
ABCB10	ABCB10	ENSG00000135776	ABCB10	ABCB10	gene	0	0
ABCB11	ABCB11	ENSG00000276582	ABCB11	ABCB11	gene	0	0
ABCB4	ABCB4	ENSG00000005471	ABCB4	ABCB4	gene	0	0
ABCB5	ABCB5	ENSG00000004846	ABCB5	ABCB5	gene	0	0
ABCB6	ABCB6	ENSG00000115657	ABCB6	ABCB6	gene	0	0
