uniq_isos	regulator
ADNP	1
ADNP2	1
AEBP2	1
AHR	1
AHRR	1
AIRE	1
ALX1	1
ALX3	1
ALX4	1
AR	1
ARGFX	1
ARID1A	1
ARID1B	1
ARID2	1
ARID3A	1
ARID3B	1
ARID3C	1
ARID4A	1
ARID4B	1
ARID5A	1
ARID5B	1
ARNT	1
ARNT2	1
ARNTL	1
ARNTL2	1
ARX	1
ASCL1	1
ASCL2	1
ASCL3	1
ASCL4	1
ATF1	1
ATF2	1
ATF3	1
ATF4	1
ATF5	1
ATF6	1
ATF7	1
ATOH1	1
ATOH7	1
ATOH8	1
ATRX	1
BACH1	1
BACH2	1
BARHL1	1
BARHL2	1
BARX1	1
BARX2	1
BATF	1
BATF2	1
BATF3	1
BBX	1
BCL11A	1
BCL11B	1
BCL3	1
BCL6	1
BCL6B	1
BHLHA15	1
BHLHA9	1
BHLHE22	1
BHLHE23	1
BHLHE40	1
BHLHE41	1
BMI1	1
BNC1	1
BNC2	1
BRCA1	1
BSX	1
C14orf43	1
CABLES1	1
CASZ1	1
CCNT2	1
CDC5L	1
CDX1	1
CDX2	1
CDX4	1
CEBPA	1
CEBPB	1
CEBPD	1
CEBPE	1
CEBPG	1
CES1	1
CHURC1	1
CIC	1
CLOCK	1
CNOT3	1
CNOT4	1
CNTN2	1
CREB1	1
CREB3	1
CREB3L1	1
CREB3L2	1
CREB3L3	1
CREB3L4	1
CREB5	1
CREBL2	1
CREBZF	1
CREM	1
CRX	1
CSDA	1
CSRNP1	1
CSRNP2	1
CSRNP3	1
CTCF	1
CTCFL	1
CUX1	1
CUX2	1
CXXC1	1
DBP	1
DBX1	1
DBX2	1
DDIT3	1
DEAF1	1
DLX1	1
DLX2	1
DLX3	1
DLX4	1
DLX5	1
DLX6	1
DMAP1	1
DMBX1	1
DMRT1	1
DMRT2	1
DMRT3	1
DMRTA1	1
DMRTA2	1
DMRTB1	1
DMRTC1	1
DMRTC2	1
DMTF1	1
DNAJC1	1
DNAJC2	1
DNMT1	1
DNMT3A	1
DNMT3B	1
DNMT3L	1
DPRX	1
DRGX	1
DUXA	1
E2F1	1
E2F3	1
E2F4	1
E2F5	1
E2F6	1
E2F7	1
E2F8	1
E4F1	1
EBF1	1
EBF2	1
EBF3	1
EBF4	1
EGR1	1
EGR2	1
EGR3	1
EGR4	1
EHF	1
ELF1	1
ELF2	1
ELF3	1
ELF4	1
ELF5	1
ELK1	1
ELK3	1
ELK4	1
EMX1	1
EMX2	1
EN1	1
EN2	1
EOMES	1
EP300	1
EPAS1	1
ERF	1
ERG	1
ESR1	1
ESR2	1
ESRRA	1
ESRRB	1
ESRRG	1
ESX1	1
ETFA	1
ETS1	1
ETS2	1
ETV1	1
ETV2	1
ETV3	1
ETV3L	1
ETV4	1
ETV5	1
ETV6	1
ETV7	1
EVX1	1
EVX2	1
EWSR1	1
FERD3L	1
FEV	1
FEZF1	1
FEZF2	1
FIGLA	1
FIZ1	1
FLI1	1
FOS	1
FOSB	1
FOSL1	1
FOSL2	1
FOXA1	1
FOXA2	1
FOXA3	1
FOXB1	1
FOXB2	1
FOXC1	1
FOXC2	1
FOXD1	1
FOXD2	1
FOXD3	1
FOXD4	1
FOXD4L1	1
FOXD4L3	1
FOXD4L4	1
FOXD4L5	1
FOXD4L6	1
FOXE1	1
FOXE3	1
FOXF1	1
FOXF2	1
FOXG1	1
FOXH1	1
FOXI1	1
FOXI2	1
FOXI3	1
FOXJ1	1
FOXJ2	1
FOXJ3	1
FOXK1	1
FOXK2	1
FOXL1	1
FOXL2	1
FOXM1	1
FOXN1	1
FOXN2	1
FOXN3	1
FOXN4	1
FOXO1	1
FOXO3	1
FOXO4	1
FOXP1	1
FOXP2	1
FOXP3	1
FOXP4	1
FOXQ1	1
FOXR2	1
FOXS1	1
GABPA	1
GABPB1	1
GATA1	1
GATA2	1
GATA3	1
GATA4	1
GATA5	1
GATA6	1
GATAD1	1
GATAD2A	1
GBX1	1
GBX2	1
GCM1	1
GCM2	1
GFI1	1
GFI1B	1
GLI1	1
GLI2	1
GLI3	1
GLI4	1
GLIS1	1
GLIS3	1
GMEB1	1
GMEB2	1
GRHL1	1
GRHL2	1
GRHL3	1
GRIK1-AS2	1
GSC	1
GSC2	1
GSX1	1
GSX2	1
GTF2B	1
GTF2F1	1
GTF2IRD1	1
GTF3A	1
GZF1	1
HAND1	1
HAND2	1
HDX	1
HELT	1
HES1	1
HES2	1
HES3	1
HES4	1
HES5	1
HES6	1
HES7	1
HESX1	1
HEY1	1
HEY2	1
HEYL	1
HHEX	1
HIC1	1
HIC2	1
HIF1A	1
HIF3A	1
HINFP	1
HIVEP1	1
HIVEP2	1
HIVEP3	1
HKR1	1
HLF	1
HLX	1
HMBOX1	1
HMG20A	1
HMG20B	1
HMGA1	1
HMGA2	1
HMGN3	1
HMGXB3	1
HMGXB4	1
HMX1	1
HMX2	1
HMX3	1
HNF1A	1
HNF4A	1
HNF4G	1
HOMEZ	1
HOPX	1
HOXA1	1
HOXA10	1
HOXA11	1
HOXA13	1
HOXA2	1
HOXA3	1
HOXA4	1
HOXA5	1
HOXA6	1
HOXA7	1
HOXA9	1
HOXB1	1
HOXB13	1
HOXB2	1
HOXB3	1
HOXB4	1
HOXB5	1
HOXB6	1
HOXB7	1
HOXB8	1
HOXB9	1
HOXC10	1
HOXC11	1
HOXC12	1
HOXC13	1
HOXC4	1
HOXC5	1
HOXC6	1
HOXC8	1
HOXC9	1
HOXD1	1
HOXD10	1
HOXD11	1
HOXD12	1
HOXD13	1
HOXD3	1
HOXD4	1
HOXD8	1
HOXD9	1
HSF1	1
HSF2	1
HSF4	1
HSF5	1
HSFX2	1
HSFY1	1
HSFY2	1
ID1	1
ID2	1
ID4	1
IKZF1	1
IKZF2	1
IKZF3	1
IKZF4	1
IKZF5	1
INSM1	1
