EX102193_RNA_L8_V1N	EX140477_RNA_L2_V1N	EX150743_RNA_L8_V1N	EX157833_RNA_L8_V1N	EX161328_RNA_L6_V1N	EX169285_RNA_L3_V1N	EX170637_RNA_L2_V1N	EX171518_RNA_L4_V1N	EX172638_RNA_L2_V1N	EX173983_RNA_L2_V1N	EX175931_RNA_L1_V1N	EX176166_RNA_L1_V1N	EX176721_RNA_L7_V1N	EX176795_RNA_L1_V1N	EX177230_RNA_L5_V1N	EX177867_RNA_L8_V1N	EX178108_RNA_L8_V1N	EX178643_RNA_L6_V1N	EX178682_RNA_L4_V1N	EX178815_RNA_L5_V1N	EX178996_RNA_L7_V1N	EX180745_RNA_L2_V1N	EX180995_RNA_L3_V1N	EX181583_RNA_L6_V1N	EX182339_RNA_L4_V1N	EX182678_RNA_L2_V1N	EX185376_RNA_L3_V1N	EX185863_RNA_L6_V1N	EX187488_RNA_L6_V1N	EX142848_RNA_L4_V1N	EX149585_RNA_L7_V1N	EX170045_RNA_L1_V1N	EX171517_RNA_L2_V1N	EX171721_RNA_L3_V1N	EX172587_RNA_L8_V1N	EX172588_RNA_L2_V1N	EX177582_RNA_L6_V1N	EX180922_RNA_L8_V1N	EX183838_RNA_L3_V1N	EX184151_RNA_L1_V1N	EX185255_RNA_L3_V1N	EX186006_RNA_L8_V1N	EX186192_RNA_L7_V1N	EX186931_RNA_L7_V1N	EX187890_RNA_L6_V1N	EX189608_RNA_L7_V1N
CREM	3.91056481020644	3.88042666452722	3.87526386623616	3.81252386328554	3.93264873063261	3.80440927598151	3.86238949436341	3.91373107025085	3.96930900565718	3.77903647856459	3.75429018538819	3.84824517050452	3.94882149736631	3.91283083571152	3.7796996208573	3.88670868728629	3.84815587457458	4.01392521907108	3.91560683252838	3.88452800172281	3.90883207269207	3.81142650235496	3.88548683737128	3.90130137074107	3.81015495025845	3.89508136368973	3.89382126833084	3.91803629046627	3.87013808946156	3.90279131966764	3.92058315293081	3.84657634350823	4.05819911726944	3.79576070287724	3.90183138568405	3.78018931216737	4.05607890903442	3.90148108341142	3.94561830884232	3.87928767021411	3.82993186294474	3.80419247530074	3.86243109922334	3.8631299582892	3.95215115894956	3.86187278346516
FOXJ3	4.00377741644248	4.02146104883055	4.03740438424697	4.03813774013734	4.04416732132626	4.0488959189092	4.02452940070789	3.98877583150267	4.01903919254546	4.06697165694104	4.08484860662703	4.03518836834287	3.9908690065993	4.03196141265239	4.02030327987252	4.03893863017346	4.08534011104721	3.99726677450307	4.00312423166923	4.03359261276896	4.10171813258572	4.01695288701094	4.027518120855	4.04960049415908	4.02431103647578	4.04750697761061	4.05300272194295	4.04099707588299	4.0812631864528	4.0233484672748	4.026924899549	4.07853749764269	4.02103778533341	4.04807280461794	4.10982102518033	4.0390639533979	4.0656316822186	4.00476368783113	3.98421863090767	4.02963424138568	4.05290294722919	3.97648305560073	4.0464371620772	4.07320471949636	4.00647144741546	4.0133480926422
HOXD9	3.53210288242036	3.54484679060064	3.68159480004097	3.63798800412225	3.48723206493071	3.58327920900056	3.70345740959341	3.76182284637922	3.63558958082508	3.79680173977852	3.43266910154912	3.77741625651552	3.73345784072468	3.55809440043767	3.81299927769049	3.79396272604393	3.33360936786548	3.73972425140887	3.80022202337187	3.63421586210221	3.5243077316946	3.56406069084828	3.51872046769282	3.44510968675662	3.59494522766761	3.62971287839569	3.55144173543928	3.58501070841208	3.82774089893997	3.86011770718227	3.71548647613613	3.61318986532484	3.71781652828334	3.6012662030984	3.93245627465911	3.55835698016078	3.81194905070261	3.66434138719395	3.62401800268883	3.77124527304919	3.55942832661861	3.47850710256237	3.4649333334223	3.68969363146748	3.81088693699575	3.55457522667855
PEG3	3.38147233891724	3.56681454698313	3.60812551592774	3.57807059773146	3.62874391339937	3.5485473532098	3.69295651983675	3.63912994387393	3.760503440659	3.72900790440643	3.49417837995429	3.66239618797417	3.53856730018838	3.40006538761151	3.66286225318451	3.57538782934895	3.72401646529282	3.72730573248132	3.66946207298212	3.70189533427192	3.78886380940494	3.65510661316438	3.54902483112186	3.67810619091643	3.57178824785267	3.43688212717214	3.70371267912893	3.59289337465658	3.72939182773057	3.61307910834749	3.66130155781893	3.64780137254196	3.84983171772691	3.60549664984318	3.72762652456011	3.34221976112812	3.69949226038066	3.70893144686278	3.57807059773146	3.61097011702216	3.63695391378664	3.66713326230468	3.66148942672382	3.64655247841851	3.6681871767043	3.64268422462054
SOX12	4.06778785318702	4.00298100213324	4.02863258624457	3.92275657068585	3.80461328680004	3.91840349945244	3.94415023597251	3.84241123479758	3.72321832054	3.91090524903366	3.87788755780108	3.89568363690199	4.00449159086412	3.92529838691605	3.88966831141784	3.95762108347896	3.90515578027261	3.86967278688333	3.87244033453345	3.8843012042003	3.93507592582218	3.93850676666644	3.95455509446302	3.99931075157189	3.86098233785352	3.95846379446845	3.94374710146781	3.83188865485003	3.80531841665407	3.89951895046668	3.95765106250891	3.96791905125461	3.82213062040877	3.99679124216725	4.01239962443357	3.82338126952168	3.81827458325004	3.96840291323743	3.91959541486576	3.91567223439247	3.90408231926341	4.02655634650228	3.95175043767028	3.9909254374658	4.04164521751203	3.93444191440024
TEAD3	4.03922398284936	4.03333480440483	3.95055182228193	3.9610174386161	4.02704768881997	4.02152859805489	4.00721213061171	3.9077998661019	3.84050097931362	3.88634075532973	4.00727163143562	3.98535553764735	3.92637796614139	4.0551815771356	3.93961932770752	3.99439430571454	3.88353048061277	3.94111456274398	3.93552372331129	3.90303256943106	3.93070263299801	4.0251439718124	4.05142090062106	4.13794525753721	3.92803193188251	3.97823974114744	3.88396892396643	4.00485827542712	3.84696004622866	3.94909944288285	3.91090524903366	4.10138426630819	3.96563399759386	4.00740020010409	3.94599085374913	4.03284134331029	3.90632716310469	3.92422253735189	3.86367968640331	3.99711746587509	3.98093741260037	4.02389665724542	3.95581957211036	3.97672479544084	3.96472527590811	3.96053784760941
VAX2	3.79793313715738	3.75066816608316	3.35883480623931	3.51872046769282	3.46762628757481	3.53094137085019	3.80440927598151	3.46921499285172	3.3958674406629	3.69347339682704	3.52761827184592	3.53537910221428	3.91737272141184	3.28816830527855	3.70000422863419	3.41397512398733	3.43165108918452	3.48433267576008	3.51588223260056	3.53969922212412	3.61902915828398	3.26781241513883	3.6250865120473	3.76005186643512	3.50007218504851	3.29247190985937	3.6169847714244	3.48212615544866	3.60437972514058	3.50123386861851	3.70600989665555	3.3958674406629	3.3594467859424	3.84983171772691	3.70497684601164	3.73465260585031	3.44754772218012	3.65579966209374	3.64391005276961	3.55276643848567	3.43266910154912	3.79077823059632	3.59402620680171	3.72488468692128	3.84183468428794	3.67783366436891
ZNF277	4.03704767073586	3.96308940820037	3.94337592158771	3.91103970082435	3.91453658583578	4.05410570229614	3.93399775956379	3.95974441233257	3.89774922425052	3.96066037742792	3.95858548510967	3.90220513995862	3.92242409748257	3.95892701523502	3.90570779507376	3.93019517288854	3.99541819046586	3.98939974611871	3.96374237030516	3.95983223139317	3.8982785960169	3.88614820576013	3.97560634502556	3.92392808379111	3.90759385582658	3.93726935998073	3.89724429450978	3.96454119013939	3.90838420975007	3.97033547496665	3.96957940468116	4.01135262648234	3.91503758627955	3.95762108347896	3.96108284312789	3.98099662152982	3.98773260154675	3.95759149178812	3.95858548510967	3.99666712718878	3.96616932879208	4.0054837415739	3.9908690065993	4.0202441551268	4.0112335956626	3.93583821664168
ZNF615	4.03250054562534	3.91356405234981	3.96957940468116	3.96060165594062	4.02887906461053	3.99330551773781	4.09997306434509	3.93777827271215	3.79044022435859	3.94794738133366	3.80526305053427	3.90155142695769	4.00318355935051	4.00292205567092	4.01794078046228	3.97517607084678	3.96867990010938	3.74796127541781	3.91212588973118	3.84299430825407	4.11004940559869	4.10774282842132	4.12489244753908	4.01594835766396	4.03145947708898	3.95510138820992	3.93178892165458	3.96308940820037	3.87224751889435	3.8475200605292	3.99180166272978	3.91513763380949	3.87738640758541	4.06835585891782	3.91767427113789	4.07243119675619	3.78927508532138	4.08290209394166	3.93520774288948	4.03979995613233	4.05953589143515	4.07978796100415	3.99774143805657	4.02331853820887	4.04468489138313	3.98757949386138
PRDM13	2.17841167049205	2.14153995904754	1.95900854316535	2.06765833801397	2.36823047078077	2.47175491801089	1.96845777896553	2.19505341572672	3.43358563289227	2.4401407294199	1.62976805463884	1.66084536774205	1.94858832963016	2.49452833257729	2.25832784194844	1.66084536774205	2.0924713229447	1.91736720179275	2.54658057776145	1.92834222122532	2.36588957393878	2.92444198277288	2.06765833801397	3.22459593334686	2.56864486115918	1.96845777896553	2.13153328627804	1.68810986559865	2.11576011649468	1.89434193591229	1.28292637823297	1.98600108720669	3.31739712005954	2.73905411236089	1.94858832963016	2.54658057776145	2.92732597952718	1.94858832963016	1.68810986559865	2.49250496102031	1.79431131182967	3.37772111779733	2.16042465799783	1.79431131182967	2.95769434541781	2.04013153848135
