key	reg	target	all.pearson	all.pearson.pvalue	nonresp.pearson	nonresp.pearson.pvalue	respond.pearson	respond.pearson.pvalue	all.spearman	all.spearman.pvalue	nonresp.spearman	nonresp.spearman.pvalue	respond.spearman	respond.spearman.pvalue	support	chip.evidence	num.chip.peaks	all.weights	nonresp.weights	respond.weights
g748||TOX4	TOX4	g748	-0.161554832400646	0.283437649957407	-0.527693965563692	0.0294763998347539	-0.211602359283942	0.270493940391977	-0.221900151204827	0.138305765267824	-0.505211621629606	0.0385822637813291	-0.273891625615764	0.150212481555639	0	0	0	-16.273694327463	0	0
g748||ZNF567	ZNF567	g748	-0.14584404972471	0.333481893826321	0.302506712103002	0.237933118853314	-0.166727800708479	0.387348372095534	-0.220666687329313	0.140567492847072	0.208461106012216	0.422022009622824	-0.233990147783251	0.220904911227577	0	0	0	-8.56412456289355	0	0
g748||CSDA	CSDA	g748	-0.314404731817636	0.0333367532150519	-0.0232890824026944	0.929303982061934	-0.427012571684792	0.02087370279615	-0.40273837424448	0.00552156480960075	0.0306748466257669	0.906964166700574	-0.617733990147783	0.000469107388796128	0	0	0	-5.43185986754107	0	-8.44110620735569
g202||HOXD9	HOXD9	g202	-0.600839973885207	1.01036448034881e-05	-0.306362850709301	0.231705136486487	-0.757765650859591	1.93350797051328e-06	-0.600740055504163	1.53285743076855e-05	-0.394607843137255	0.118023972967492	-0.726600985221675	1.44487745795524e-05	0	0	0	-4.53896118502228	0	-7.56299315815446
g23||HOXD9	HOXD9	g23	-0.504987568140126	0.000344712683577227	-0.455331212370737	0.0662638971726957	-0.633803585499481	0.000223104284550475	-0.638852913968548	3.204824044666e-06	-0.370098039215686	0.144268639688663	-0.667487684729064	0.00011268471115919	0	0	0	-4.53854120156603	0	-7.20819558045586
g138||HOXD9	HOXD9	g138	-0.634711172135619	2.16680671537388e-06	0.0834005791270759	0.750309137662758	-0.796885481286209	2.30742092164497e-07	-0.490101757631822	0.000636088515147513	0.0563725490196079	0.831480414464608	-0.720197044334975	1.83818988289098e-05	0	0	0	-4.52192141683634	0	-7.49709594971566
g80||HOXD9	HOXD9	g80	-0.619592230684305	4.40547211846044e-06	-0.484288825002038	0.0488436965704957	-0.797336860517642	2.24560980881816e-07	-0.597903176071539	1.71253046768093e-05	-0.492647058823529	0.0465658227587858	-0.756650246305419	4.68133936935059e-06	0	0	0	-4.38302558319422	0	-7.70370980407803
g108||HOXD9	HOXD9	g108	-0.552337600276328	6.89825726800627e-05	0.435116641084934	0.0808845579351904	-0.694755022234646	2.89230402136006e-05	-0.401541782300339	0.00600954477974471	0.379901960784314	0.133318328937149	-0.61871921182266	0.000457091782100599	0	0	0	-4.25198621690939	0	-6.65991507468564
g183||HOXD9	HOXD9	g183	-0.596164557302651	1.23264152213011e-05	-0.442104470152971	0.0755883289661451	-0.747048267858455	3.23464486631217e-06	-0.573111316682084	4.35203554407014e-05	-0.470588235294118	0.0585275172922764	-0.734975369458128	1.0511726928176e-05	0	0	0	-4.2075600509151	0	-7.15211211564243
g117||HOXD9	HOXD9	g117	-0.52701619802856	0.000167964402625404	0.356733376131605	0.159852204610163	-0.661455506552529	9.34468488443252e-05	-0.395868023435091	0.00681547989191497	0.299019607843137	0.242955467684265	-0.641379310344827	0.000245623849977791	0	0	0	-4.20586399016807	0	-6.59217943327355
