gene-name	is-regulator	avg-all	avg-nonresp	avg-respond	avg-diff	t-pval	t-stat	wilcox-pval	wilcox-stat	num-repeats-all	num-repeats-nonresp	num-repeats-respond
TAL1	1	3.76	3.7	3.8	-0.091	0.0365	-2.17	0.0469	159	1	1	1
NR2E1	1	2.68	2.81	2.6	0.206	0.109	1.64	0.139	312	2	1	1
g83	0	-2.61e-17	-0.217	0.127	-0.344	0.149	-1.48	0.179	187	2	2	1
AHR	1	3.97	3.95	3.99	-0.0431	0.189	-1.34	0.191	188	2	1	1
g1177	0	2.19e-16	-0.18	0.106	-0.286	0.23	-1.23	0.343	204	1	1	1
SOX12	1	3.92	3.94	3.91	0.0253	0.25	1.17	0.222	301	1	1	1
g982	0	1.95e-16	-0.206	0.121	-0.327	0.267	-1.13	0.343	204	1	1	1
HOXD9	1	3.64	3.67	3.63	0.0439	0.285	1.09	0.343	289	1	1	1
ZNF567	1	3.84	3.85	3.83	0.0152	0.287	1.08	0.391	285	1	1	1
g138	0	3.37e-16	-0.159	0.093	-0.252	0.291	-1.08	0.573	221	1	1	1
ZNF396	1	3.61	3.63	3.6	0.034	0.292	1.07	0.404	284	1	1	1
g183	0	-3.74e-16	-0.157	0.0922	-0.249	0.295	-1.07	0.857	255	1	1	1
g43	0	4.05e-16	-0.154	0.0905	-0.245	0.304	-1.05	0.181	187	1	1	1
g1301	0	1.55e-16	0.154	-0.0902	0.244	0.305	1.04	0.181	306	1	1	1
g1336	0	-3.93e-16	-0.152	0.0889	-0.24	0.312	-1.03	0.573	221	1	1	1
g919	0	8.78e-17	-0.188	0.11	-0.298	0.316	-1.02	0.379	207	1	1	1
g1275	0	-1.28e-16	-0.149	0.0876	-0.237	0.319	-1.01	0.0112	136	1	1	1
GTF3A	1	4.18	4.19	4.18	0.0116	0.32	1.01	0.181	306	1	1	1
g1215	0	6.4e-16	-0.149	0.0875	-0.237	0.32	-1.01	0.857	255	1	1	1
g71	0	-2.02e-16	-0.146	0.0857	-0.232	0.33	-0.992	0.343	204	1	1	1
g115	0	-4.68e-16	-0.136	0.0798	-0.216	0.364	-0.923	0.573	221	1	1	1
g155	0	1.97e-16	-0.134	0.0784	-0.212	0.373	-0.906	0.573	221	1	1	1
g1190	0	2.52e-16	-0.131	0.0771	-0.209	0.381	-0.891	0.343	204	1	1	1
g1341	0	4.57e-16	-0.131	0.077	-0.208	0.381	-0.89	0.181	187	1	1	1
g65	0	2.87e-17	-0.128	0.075	-0.203	0.394	-0.867	0.569	221	2	2	1
g73	0	-5.22e-17	-0.127	0.0745	-0.201	0.397	-0.86	0.857	238	1	1	1
g173	0	-2.83e-16	-0.121	0.0708	-0.192	0.42	-0.818	0.856	238	2	2	1
g137	0	2.28e-16	-0.12	0.0705	-0.191	0.423	-0.813	0.573	272	1	1	1
g117	0	-1.26e-16	-0.12	0.0702	-0.19	0.424	-0.811	0.573	221	1	1	1
DLX4	1	3.34	3.38	3.31	0.0673	0.437	0.786	0.343	289	1	1	1
g1281	0	-3.36e-16	-0.116	0.068	-0.184	0.439	-0.785	0.857	255	1	1	1
g1306	0	-9.1e-17	-0.115	0.0672	-0.182	0.444	-0.776	0.343	204	1	1	1
g637	0	-5.13e-16	-0.114	0.0666	-0.18	0.449	-0.768	0.857	238	1	1	1
g23	0	1.6e-17	-0.113	0.0662	-0.179	0.451	-0.764	0.181	187	1	1	1
g27	0	1.19e-16	-0.113	0.066	-0.179	0.453	-0.761	0.573	221	1	1	1
g202	0	5.24e-17	-0.111	0.0654	-0.177	0.457	-0.754	0.181	187	1	1	1
NKX6-1	1	3.29	3.25	3.32	-0.0712	0.466	-0.738	0.62	224	1	1	1
g124	0	-2.24e-16	-0.108	0.0632	-0.171	0.472	-0.729	0.856	238	2	2	1
ZNF615	1	3.97	3.98	3.96	0.0198	0.48	0.714	0.404	284	1	1	1
MXD4	1	4.16	4.16	4.15	0.00828	0.485	0.709	0.753	261	1	1	1
g63	0	2.27e-16	-0.103	0.0605	-0.164	0.491	-0.698	0.857	255	1	1	1
CREM	1	3.88	3.89	3.88	0.0151	0.502	0.681	0.822	257	1	1	1
g1195	0	1.67e-16	-0.0988	0.0579	-0.157	0.51	-0.668	0.857	238	1	1	1
g1325	0	1.51e-16	-0.0949	0.0557	-0.151	0.526	-0.641	0.181	187	1	1	1
RBAK	1	3.9	3.91	3.9	0.00688	0.531	0.632	0.62	269	1	1	1
g82	0	-1.17e-16	-0.0938	0.055	-0.149	0.531	-0.634	0.339	204	2	2	1
BACH1	1	3.94	3.94	3.93	0.00812	0.548	0.607	0.457	280	1	1	1
g734	0	-1.61e-16	0.0859	-0.0504	0.136	0.566	0.58	0.573	272	1	1	1
g1333	0	2.19e-16	-0.0848	0.0497	-0.135	0.571	-0.573	0.179	187	2	2	1
