user_gene_set	property_gene_set	universe_count	user_count	property_count	overlap_count	pval
LASSOmin.1.mod.1	LASSOmin.1.mod.19	2004	215	150	0	0
LASSOmin.1.mod.19	LASSOmin.1.mod.21	2004	150	220	0	0
LASSOmin.1.mod.19	LASSOmin.1.mod.31	2004	150	218	0	0
LASSOmin.1.mod.19	LASSOmin.1.mod.41	2004	150	219	0	0
LASSOmin.1.mod.21	LASSOmin.1.mod.23	2004	220	172	0	0
LASSOmin.1.mod.22	LASSOmin.1.mod.23	2004	214	172	0	0
LASSOmin.1.mod.23	LASSOmin.1.mod.41	2004	172	219	0	0
LASSOmin.1.mod.38	LASSOmin.1.mod.41	2004	330	219	4	5.64e-15
LASSOmin.1.mod.31	LASSOmin.1.mod.38	2004	218	330	4	6.51e-15
LASSOmin.1.mod.1	LASSOmin.1.mod.38	2004	215	330	4	1.17e-14
LASSOmin.1.mod.22	LASSOmin.1.mod.38	2004	214	330	5	1.7e-13
LASSOmin.1.mod.38	LASSOmin.1.mod.42	2004	330	204	5	1.05e-12
LASSOmin.1.mod.1	LASSOmin.1.mod.9	2004	215	214	1	2.8e-12
LASSOmin.1.mod.41	LASSOmin.1.mod.42	2004	219	204	1	6.18e-12
LASSOmin.1.mod.21	LASSOmin.1.mod.38	2004	220	330	8	3.18e-11
LASSOmin.1.mod.11	LASSOmin.1.mod.22	2004	243	214	3	4.57e-11
LASSOmin.1.mod.21	LASSOmin.1.mod.45	2004	220	181	1	1.08e-10
LASSOmin.1.mod.41	LASSOmin.1.mod.45	2004	219	181	1	1.2e-10
LASSOmin.1.mod.11	LASSOmin.1.mod.9	2004	243	214	4	5.18e-10
LASSOmin.1.mod.21	LASSOmin.1.mod.22	2004	220	214	3	7.05e-10
LASSOmin.1.mod.11	LASSOmin.1.mod.19	2004	243	150	1	7.31e-10
LASSOmin.1.mod.22	LASSOmin.1.mod.31	2004	214	218	3	8.92e-10
LASSOmin.1.mod.31	LASSOmin.1.mod.9	2004	218	214	3	8.92e-10
LASSOmin.1.mod.12	LASSOmin.1.mod.19	2004	238	150	1	1.14e-09
