key	reg	target	all.pearson	all.pearson.pvalue	nonresp.pearson	nonresp.pearson.pvalue	respond.pearson	respond.pearson.pvalue	all.spearman	all.spearman.pvalue	nonresp.spearman	nonresp.spearman.pvalue	respond.spearman	respond.spearman.pvalue	support	chip.evidence	num.chip.peaks	all.weights	nonresp.weights	respond.weights
g1189||NKX6-1	NKX6-1	g1189	0.323457884959621	0.028325821004097	0.0306030048873841	0.907181176015927	0.40842627687695	0.0278328677460302	0.220351526364477	0.140875777485563	-0.132352941176471	0.611953473917796	0.469950738916256	0.0108275519842633	0	0	0	0	0	0
g1310||NKX6-1	NKX6-1	g1310	0.22413119701874	0.134283768019314	0.0522299880958834	0.842199004226447	0.297973263810691	0.116425334063704	0.268948504471169	0.0709414286118267	-0.0367647058823529	0.890954565485626	0.410344827586207	0.0279118912152533	0	0	0	0	0	0
g602||NKX6-1	NKX6-1	g602	0.745685837632744	2.75009254392656e-09	0.960057247212037	1.05929835372772e-09	0.615282161007954	0.000381921467421746	0.636632747456059	3.52275943551938e-06	0.857843137254902	0	0.527586206896552	0.00371404646024813	0	0	0	0	0	0
g603||NKX6-1	NKX6-1	g603	0.355067023614076	0.0154614094827483	0.0408258789915298	0.876370690635079	0.581031495803406	0.00094933418312083	0.417576318223867	0.00416505769041232	0.0465686274509804	0.861126110035359	0.707881773399015	2.8904882949764e-05	0	0	0	0	0	0
g605||NKX6-1	NKX6-1	g605	0.437601797978642	0.00235593727809057	0.0602772504556694	0.818241641689407	0.665610067475892	8.13675539134025e-05	0.467530064754857	0.00118973842701779	0.0637254901960784	0.809389056534401	0.608866995073892	0.000590305060829014	0	0	0	0	0	0
g606||NKX6-1	NKX6-1	g606	0.428954771924091	0.00293449963049049	-0.0825272607914779	0.752846765123225	0.745941033627324	3.40635897328084e-06	0.519087264878199	0.000267844126765405	-0.0833333333333333	0.751205676294256	0.824137931034483	1.20806686140924e-06	0	0	0	0	0	0
g607||NKX6-1	NKX6-1	g607	0.468459401935056	0.00102552345530015	0.0948451640039294	0.717286413517223	0.731828280071401	6.44214480211762e-06	0.470983657107616	0.00108380795521895	0.205882352941176	0.426417271161064	0.660098522167488	0.000141541002026561	0	0	0	0	0	0
g608||NKX6-1	NKX6-1	g608	0.522016007630308	0.000198596845362268	0.145698083891362	0.576869689094257	0.752531735032647	2.49388886998356e-06	0.513783533765032	0.000315465300697839	0.166666666666667	0.521379269323577	0.733004926108374	1.13307636108913e-05	0	0	0	0	0	0
g609||NKX6-1	NKX6-1	g609	0.276509395975017	0.0628546346404839	0.0652391454992921	0.803543767123405	0.408200894783637	0.0279275804429628	0.221461609620722	0.138846653826195	0.0490196078431373	0.853696049975753	0.317733990147783	0.0933479746856269	0	0	0	0	0	0
g610||NKX6-1	NKX6-1	g610	0.374924980537704	0.010249767458924	-0.0788855906225825	0.763454024929839	0.655831040270436	0.000112332030034547	0.413506012950971	0.00457841225162892	-0.0245098039215686	0.928437975261992	0.712807881773399	2.41629485650959e-05	0	0	0	0	0	0
g611||NKX6-1	NKX6-1	g611	0.308791855004582	0.0367959118773813	0.0611504757751511	0.815650721985578	0.478434811563107	0.00865645629426958	0.342337341967314	0.020342046221549	0.132352941176471	0.611953473917796	0.390147783251231	0.0372587027681966	0	0	0	0	0	0
g612||NKX6-1	NKX6-1	g612	0.403090340348588	0.0054766774373764	0.0730504162406482	0.780532947243319	0.620229499590101	0.000331931540546626	0.367869256860931	0.0123264059688658	0.100490196078431	0.701339321483756	0.521182266009852	0.00421846853611116	0	0	0	0	0	0
g613||NKX6-1	NKX6-1	g613	0.427329211742802	0.00305625082206426	-0.0387696783056801	0.882555732586085	0.710804599634446	1.55280045233655e-05	0.454332408263953	0.00168524313120516	-0.102941176470588	0.694306640386447	0.682758620689655	6.89506125169071e-05	0	0	0	0	0	0
g615||NKX6-1	NKX6-1	g615	0.449441168224079	0.00172788242064492	-0.00686141877432143	0.979149214971462	0.755150702131757	2.19739746560886e-06	0.334813444341659	0.0234171978410264	-0.169117647058824	0.515164256863485	0.568965517241379	0.00153912102972554	0	0	0	0	0	0
g616||NKX6-1	NKX6-1	g616	0.424254486492384	0.00329874951156994	0.0303790099616033	0.907857827849988	0.681233911237555	4.74098472800734e-05	0.319888991674376	0.0306865844060617	-0.323529411764706	0.204973096417061	0.596059113300493	0.000813420725541378	0	0	0	0	0	0
g617||NKX6-1	NKX6-1	g617	0.312910251817804	0.0342304277946174	-0.0207267766595177	0.93706671399945	0.511123892035251	0.0046028126653154	0.352328091273512	0.0167935359973412	-0.0955882352941177	0.715475623387515	0.546305418719212	0.0025256758385379	0	0	0	0	0	0
g618||NKX6-1	NKX6-1	g618	0.428434996804037	0.00297295669980734	0.198616294844107	0.444747250340358	0.560773131114712	0.00155440104267608	0.485661424606845	0.000721747466880666	0.112745098039216	0.666424281058544	0.589162561576355	0.000961616848652186	0	0	0	0	0	0
g619||NKX6-1	NKX6-1	g619	0.446518735514305	0.00186722452615027	-0.438178917140193	0.0785314138682993	0.58276768566594	0.000908693137082374	0.346284304656182	0.0188707346378309	-0.443627450980392	0.0761683611951501	0.544827586206896	0.00260569498568532	0	0	0	0	0	0
g620||NKX6-1	NKX6-1	g620	0.41305911013971	0.00433058902776738	-0.347506854462605	0.171713087673228	0.529669811439185	0.00312729626970121	0.448658649398705	0.00194973908331246	-0.595588235294118	0.0133112821022499	0.604433497536946	0.000660567022597264	0	0	0	0	0	0
g621||NKX6-1	NKX6-1	g621	0.549646005636768	7.60861620232233e-05	-0.0189804727226141	0.942360409838367	0.734104997272263	5.82840047704407e-06	0.504286154794943	0.000420300479142399	0.100490196078431	0.701339321483756	0.668472906403941	0.000109259675385995	0	0	0	0	0	0
g622||NKX6-1	NKX6-1	g622	0.545392712468883	8.86811817148699e-05	0.5649220324822	0.0181341248135584	0.698571898647967	2.50363489412938e-05	0.689793401171754	3.53648213815878e-07	0.656862745098039	0.0052295587598523	0.713793103448276	2.33050483905155e-05	0	0	0	0	0	0
g623||NKX6-1	NKX6-1	g623	0.32749091505462	0.0263044427145554	-0.201206010774611	0.438709550570767	0.439096578527253	0.0171693479637368	0.309907798722694	0.03608562314028	-0.431637113625295	0.0836200403878224	0.485221674876847	0.00828613376965922	0	0	0	0	0	0
g624||NKX6-1	NKX6-1	g624	0.427119861938092	0.00307224945207455	0.110193566015061	0.673741240325068	0.567070130415634	0.00133801206824836	0.354054887449892	0.0162371764513314	0.132352941176471	0.611953473917796	0.487684729064039	0.00792804787565576	0	0	0	0	0	0
