gene-name	is-regulator	avg-all	avg-nonresp	avg-respond	avg-diff	t-pval	t-stat	wilcox-pval	wilcox-stat	num-repeats-all	num-repeats-nonresp	num-repeats-respond
g941	0	6.27e-16	-0.396	0.232	-0.628	0.0413	-2.12	0.042	157	1	1	1
g414	0	5.06e-16	-0.323	0.19	-0.513	0.0908	-1.74	0.128	179	1	1	1
g755	0	1.22e-16	-0.243	0.142	-0.385	0.107	-1.66	0.0837	170	1	1	1
g622	0	-2.29e-16	-0.232	0.136	-0.367	0.124	-1.59	0.181	187	1	1	1
g179	0	4.63e-16	-0.221	0.13	-0.351	0.142	-1.51	0.573	221	1	1	1
g647	0	2.15e-16	-0.22	0.129	-0.349	0.144	-1.5	0.0837	170	1	1	1
g784	0	-9.17e-17	-0.211	0.124	-0.334	0.161	-1.44	0.343	204	1	1	1
g646	0	4.45e-17	-0.209	0.123	-0.332	0.164	-1.43	0.0333	153	1	1	1
g798	0	-9.34e-17	-0.241	0.141	-0.383	0.173	-1.39	0.205	190	1	1	1
g681	0	1.79e-16	-0.201	0.118	-0.319	0.181	-1.37	0.0333	153	1	1	1
g745	0	3.77e-16	-0.19	0.111	-0.301	0.206	-1.29	0.0837	170	1	1	1
g708	0	-1.19e-16	-0.183	0.107	-0.29	0.223	-1.25	0.569	221	2	2	1
g689	0	2.25e-16	-0.17	0.0999	-0.27	0.256	-1.16	0.857	238	1	1	1
g1342	0	6.98e-17	-0.171	0.1	-0.271	0.256	-1.16	0.343	204	1	1	1
g901	0	1.32e-16	-0.235	0.138	-0.372	0.258	-1.16	0.205	190	1	1	1
g780	0	-1.85e-16	-0.162	0.0949	-0.257	0.281	-1.1	0.181	187	1	1	1
g1189	0	-3.24e-17	-0.156	0.0915	-0.248	0.298	-1.06	0.857	238	1	1	1
g1201	0	1.96e-17	-0.155	0.0906	-0.245	0.303	-1.05	0.857	238	1	1	1
g1336	0	-3.93e-16	-0.152	0.0889	-0.24	0.312	-1.03	0.573	221	1	1	1
g705	0	2.67e-17	-0.147	0.086	-0.233	0.328	-0.995	0.0837	170	1	1	1
g936	0	3.47e-18	-0.157	0.0922	-0.25	0.345	-0.955	0.543	219	1	1	1
g680	0	-2.43e-17	0.139	-0.0813	0.22	0.355	0.94	0.569	272	3	3	1
g690	0	-3.91e-17	-0.134	0.0784	-0.212	0.372	-0.906	0.0343	153	2	2	1
g800	0	1.79e-16	-0.182	0.107	-0.288	0.384	-0.885	0.249	195	1	1	1
g804	0	3.73e-17	-0.142	0.0834	-0.226	0.414	-0.824	0.573	221	1	1	1
g669	0	6.92e-17	0.121	-0.071	0.192	0.42	0.819	0.569	272	2	2	1
g673	0	1.5e-16	-0.121	0.0708	-0.192	0.42	-0.818	0.573	221	1	1	1
g1192	0	3.19e-16	-0.118	0.0691	-0.187	0.432	-0.798	0.343	204	1	1	1
g633	0	-3.1e-16	-0.117	0.0684	-0.185	0.436	-0.79	0.0837	170	1	1	1
g684	0	1.87e-17	-0.116	0.068	-0.184	0.439	-0.785	0.573	221	1	1	1
g1281	0	-3.36e-16	-0.116	0.068	-0.184	0.439	-0.785	0.857	255	1	1	1
g1349	0	2.1e-16	-0.114	0.0667	-0.181	0.448	-0.77	0.181	187	1	1	1
