module-method	module-index	orig-pval	revised-pvalue	num-targets	num-regulators	regulator-names	target-names	num-samples	num-genes	num-class1	num-class2
LM 1	19	0.0099	0.002	241	1	HOXD9	g2, g3, g4, g6, g7, g8, g9, g10, g11, g12, g13, g14, g15, g16, g17, g18, g19, g20, g21, g22, g23, g25, g26, g27, g28, g29, g30, g31, g32, g33, g34, g35, g36, g37, g38, g39, g40, g41, g42, g43, g44, g45, g46, g47, g48, g49, g50, g51, g52, g53, g54, g55, g56, g57, g58, g59, g60, g61, g62, g63, g64, g65, g66, g67, g68, g69, g70, g71, g72, g73, g74, g75, g76, g77, g78, g79, g80, g81, g82, g83, g84, g85, g86, g87, g88, g89, g90, g91, g92, g93, g94, g95, g96, g97, g98, g99, g100, g101, g102, g103, g104, g105, g106, g107, g108, g109, g110, g111, g112, g113, g114, g115, g116, g117, g118, g119, g120, g121, g122, g123, g124, g126, g127, g128, g129, g130, g131, g132, g133, g134, g135, g136, g137, g138, g139, g140, g141, g142, g143, g144, g145, g146, g147, g148, g149, g150, g151, g152, g153, g154, g155, g156, g157, g158, g159, g160, g161, g162, g164, g165, g166, g167, g168, g169, g170, g171, g172, g173, g174, g175, g176, g177, g178, g179, g180, g181, g182, g183, g184, g185, g186, g187, g188, g189, g190, g191, g192, g193, g194, g195, g196, g197, g199, g200, g201, g202, g203, g204, g604, g627, g751, g1078, g1159, g1161, g1167, g1168, g1169, g1173, g1177, g1178, g1181, g1182, g1185, g1194, g1200, g1210, g1211, g1212, g1214, g1228, g1236, g1242, g1248, g1258, g1265, g1271, g1274, g1278, g1284, g1288, g1300, g1314, g1326, g1329, g1331, g1335, g1341, g1344, g1351, g1354, g1356	46	242	17	29
LM 1	20	0.0099	0.002	216	1	NKX6-1	g414, g602, g603, g605, g606, g607, g608, g609, g610, g611, g612, g613, g615, g616, g617, g618, g619, g620, g621, g622, g623, g624, g625, g626, g628, g629, g630, g631, g632, g633, g634, g635, g636, g637, g638, g639, g640, g641, g642, g643, g644, g645, g646, g647, g648, g649, g650, g651, g652, g653, g654, g655, g656, g657, g658, g659, g660, g661, g662, g663, g664, g665, g666, g667, g668, g669, g670, g671, g673, g674, g675, g676, g677, g678, g679, g680, g681, g682, g683, g684, g685, g686, g687, g688, g689, g690, g692, g693, g694, g695, g696, g697, g698, g699, g700, g701, g702, g703, g704, g705, g706, g707, g708, g710, g711, g712, g713, g714, g715, g716, g717, g718, g719, g720, g721, g722, g723, g724, g725, g726, g727, g728, g729, g730, g731, g732, g733, g735, g736, g737, g738, g739, g740, g741, g742, g743, g744, g745, g746, g747, g748, g749, g750, g752, g753, g754, g755, g756, g757, g759, g760, g761, g762, g763, g764, g765, g766, g767, g768, g769, g770, g771, g772, g773, g774, g775, g776, g777, g778, g779, g780, g781, g782, g783, g784, g785, g1155, g1158, g1160, g1162, g1165, g1171, g1172, g1174, g1175, g1189, g1192, g1196, g1197, g1198, g1201, g1213, g1220, g1226, g1235, g1241, g1255, g1262, g1264, g1267, g1276, g1281, g1283, g1285, g1296, g1298, g1302, g1307, g1310, g1318, g1323, g1336, g1340, g1342, g1349, g1350	46	217	17	29
LM 1	28	0.0099	0.002	180	1	HOXD9	g2, g3, g4, g6, g7, g9, g10, g11, g12, g13, g14, g16, g17, g19, g21, g22, g23, g24, g25, g27, g28, g29, g30, g31, g32, g34, g36, g37, g38, g41, g42, g43, g44, g45, g46, g48, g49, g50, g51, g52, g55, g56, g57, g58, g59, g60, g61, g62, g64, g65, g66, g67, g68, g69, g70, g71, g72, g73, g74, g75, g76, g77, g78, g79, g80, g81, g82, g83, g84, g85, g86, g87, g88, g89, g90, g91, g92, g93, g94, g95, g96, g97, g98, g100, g101, g102, g103, g104, g105, g106, g107, g108, g110, g111, g112, g113, g114, g115, g116, g117, g118, g122, g124, g126, g127, g128, g129, g130, g132, g133, g135, g136, g137, g138, g142, g143, g144, g145, g147, g148, g149, g150, g151, g152, g153, g154, g155, g156, g157, g160, g161, g162, g164, g165, g167, g168, g169, g170, g171, g172, g173, g174, g175, g176, g177, g178, g180, g181, g182, g183, g184, g185, g186, g187, g188, g189, g190, g191, g192, g193, g194, g195, g196, g199, g200, g201, g202, g203, g204, g360, g751, g801, g843, g875, g883, g888, g903, g905, g948, g1078	46	181	17	29
LM 1	31	0.0099	0.002	191	1	NKX6-1	g1, g15, g123, g179, g602, g603, g605, g606, g607, g608, g609, g610, g611, g612, g613, g615, g616, g617, g618, g619, g620, g621, g622, g623, g624, g625, g626, g627, g628, g629, g630, g631, g632, g633, g634, g635, g636, g637, g638, g640, g642, g643, g644, g645, g646, g647, g648, g649, g650, g651, g652, g653, g654, g655, g656, g657, g658, g659, g660, g661, g662, g663, g664, g665, g666, g667, g668, g669, g670, g671, g672, g673, g674, g675, g676, g677, g678, g679, g680, g681, g682, g683, g684, g685, g686, g687, g688, g689, g690, g692, g693, g694, g695, g696, g697, g698, g700, g702, g703, g704, g705, g706, g707, g708, g709, g710, g711, g712, g713, g714, g715, g716, g717, g718, g719, g720, g721, g722, g723, g724, g725, g726, g728, g729, g730, g731, g732, g733, g735, g736, g737, g739, g740, g741, g742, g743, g744, g745, g746, g747, g748, g749, g750, g752, g753, g754, g755, g756, g757, g758, g759, g760, g761, g762, g763, g764, g765, g766, g767, g768, g769, g770, g771, g772, g773, g774, g775, g776, g777, g778, g779, g780, g781, g782, g783, g784, g785, g798, g800, g802, g804, g830, g856, g866, g882, g901, g930, g936, g941, g1189, g1310	46	192	17	29
LM 1	29	0.0099	0.003	328	1	TEAD3	g8, g18, g20, g26, g33, g35, g39, g40, g47, g53, g54, g63, g99, g109, g119, g120, g121, g125, g131, g134, g139, g140, g141, g146, g158, g159, g166, g197, g198, g320, g639, g701, g727, g738, g789, g791, g792, g796, g799, g805, g808, g809, g811, g813, g816, g818, g819, g820, g823, g824, g826, g827, g831, g833, g834, g835, g836, g837, g839, g841, g842, g845, g846, g848, g849, g851, g852, g853, g857, g858, g859, g861, g865, g867, g868, g869, g870, g872, g873, g874, g877, g881, g885, g886, g887, g889, g890, g891, g892, g894, g898, g900, g902, g904, g908, g911, g912, g913, g914, g916, g917, g918, g919, g920, g921, g922, g925, g926, g927, g928, g931, g934, g935, g937, g938, g939, g940, g942, g943, g944, g945, g946, g950, g952, g953, g954, g956, g958, g959, g963, g964, g1155, g1156, g1157, g1158, g1159, g1160, g1161, g1162, g1163, g1164, g1165, g1166, g1167, g1168, g1169, g1170, g1171, g1172, g1173, g1174, g1175, g1176, g1177, g1178, g1179, g1180, g1181, g1182, g1183, g1184, g1185, g1186, g1187, g1188, g1190, g1191, g1192, g1193, g1194, g1195, g1196, g1197, g1198, g1199, g1200, g1201, g1202, g1203, g1204, g1205, g1206, g1207, g1208, g1209, g1210, g1211, g1212, g1213, g1214, g1215, g1216, g1217, g1218, g1219, g1220, g1221, g1222, g1223, g1224, g1225, g1226, g1227, g1228, g1229, g1230, g1231, g1232, g1233, g1234, g1235, g1236, g1237, g1238, g1239, g1240, g1241, g1242, g1243, g1244, g1245, g1246, g1247, g1248, g1249, g1250, g1251, g1252, g1253, g1255, g1256, g1257, g1258, g1259, g1260, g1261, g1262, g1263, g1264, g1265, g1266, g1267, g1268, g1269, g1270, g1271, g1272, g1273, g1274, g1275, g1276, g1277, g1278, g1279, g1280, g1281, g1282, g1283, g1284, g1285, g1286, g1287, g1288, g1290, g1291, g1292, g1293, g1294, g1295, g1296, g1297, g1298, g1299, g1300, g1301, g1302, g1303, g1304, g1305, g1306, g1307, g1308, g1311, g1312, g1313, g1314, g1315, g1316, g1317, g1318, g1319, g1320, g1321, g1322, g1323, g1324, g1325, g1326, g1327, g1328, g1329, g1330, g1331, g1332, g1333, g1334, g1335, g1336, g1337, g1338, g1339, g1340, g1341, g1342, g1343, g1344, g1345, g1346, g1347, g1348, g1349, g1350, g1351, g1352, g1353, g1354, g1356, g1357	46	329	17	29
LM 1	5	0.0396	0.014	327	1	NR2E1	g414, g464, g467, g482, g510, g553, g555, g585, g591, g599, g606, g607, g608, g611, g618, g620, g622, g623, g628, g631, g638, g640, g647, g652, g655, g656, g668, g678, g680, g681, g690, g695, g696, g699, g702, g703, g705, g706, g707, g711, g713, g715, g716, g722, g723, g724, g727, g728, g731, g732, g733, g737, g740, g754, g755, g756, g757, g761, g765, g767, g768, g770, g771, g775, g777, g779, g783, g786, g787, g788, g789, g790, g791, g792, g793, g794, g795, g796, g797, g798, g799, g800, g801, g802, g803, g804, g805, g806, g807, g808, g809, g810, g811, g812, g813, g814, g815, g816, g817, g818, g819, g820, g821, g822, g823, g824, g825, g826, g827, g828, g829, g830, g831, g832, g833, g834, g835, g836, g837, g838, g839, g840, g841, g842, g843, g844, g845, g846, g847, g848, g849, g850, g851, g852, g853, g854, g855, g856, g857, g858, g859, g860, g861, g862, g863, g864, g865, g866, g867, g868, g869, g870, g871, g872, g873, g874, g875, g876, g877, g878, g879, g880, g881, g882, g883, g884, g885, g886, g887, g888, g889, g890, g891, g892, g893, g894, g895, g896, g897, g898, g899, g900, g901, g902, g903, g904, g905, g906, g907, g908, g909, g910, g911, g912, g913, g914, g915, g916, g917, g918, g919, g920, g921, g922, g923, g924, g925, g926, g927, g928, g929, g930, g931, g932, g933, g934, g935, g936, g937, g938, g939, g940, g941, g942, g943, g944, g945, g946, g947, g948, g949, g950, g951, g952, g953, g954, g955, g956, g957, g958, g959, g960, g961, g962, g963, g964, g1154, g1157, g1158, g1160, g1163, g1165, g1169, g1170, g1172, g1175, g1176, g1179, g1187, g1189, g1190, g1193, g1195, g1197, g1201, g1202, g1204, g1207, g1208, g1221, g1222, g1223, g1224, g1225, g1229, g1230, g1233, g1239, g1241, g1244, g1245, g1251, g1255, g1256, g1257, g1259, g1260, g1261, g1262, g1266, g1267, g1268, g1270, g1275, g1278, g1279, g1286, g1287, g1290, g1294, g1298, g1299, g1301, g1304, g1312, g1313, g1314, g1316, g1318, g1321, g1324, g1325, g1327, g1328, g1332, g1333, g1334, g1337, g1339, g1343, g1344, g1345, g1346, g1348, g1349, g1353, g1357	46	328	17	29
LM 1	1	0.0297	0.015	367	1	HOXD9	g2, g3, g4, g6, g7, g8, g9, g12, g13, g14, g15, g16, g17, g18, g19, g20, g21, g22, g23, g25, g26, g27, g28, g29, g30, g31, g32, g33, g34, g35, g36, g37, g38, g39, g40, g41, g42, g43, g44, g45, g46, g47, g48, g49, g50, g51, g52, g53, g54, g55, g56, g57, g58, g59, g60, g61, g62, g63, g64, g65, g66, g67, g68, g69, g70, g71, g73, g74, g75, g76, g77, g78, g79, g80, g81, g82, g83, g84, g85, g86, g87, g88, g89, g90, g91, g92, g93, g94, g95, g96, g97, g98, g99, g100, g101, g102, g103, g104, g105, g106, g107, g108, g109, g110, g111, g112, g113, g114, g115, g116, g117, g118, g119, g120, g121, g122, g123, g124, g125, g126, g127, g128, g129, g130, g131, g132, g133, g134, g135, g136, g137, g138, g139, g140, g141, g142, g143, g144, g145, g146, g147, g148, g149, g150, g151, g152, g153, g154, g155, g156, g157, g158, g159, g160, g161, g162, g163, g164, g165, g166, g167, g168, g169, g170, g171, g172, g173, g174, g175, g176, g177, g178, g179, g180, g181, g182, g183, g184, g185, g186, g187, g188, g189, g190, g191, g192, g193, g194, g195, g196, g197, g198, g199, g200, g201, g202, g203, g204, g235, g604, g610, g619, g621, g627, g629, g630, g635, g643, g645, g649, g662, g672, g673, g674, g679, g700, g708, g726, g734, g738, g745, g747, g751, g753, g762, g764, g785, g1007, g1024, g1078, g1156, g1159, g1166, g1168, g1173, g1174, g1177, g1180, g1181, g1182, g1183, g1184, g1185, g1186, g1191, g1192, g1194, g1196, g1198, g1203, g1205, g1206, g1210, g1212, g1213, g1214, g1218, g1220, g1226, g1232, g1234, g1235, g1238, g1240, g1242, g1248, g1250, g1252, g1258, g1269, g1271, g1272, g1273, g1274, g1283, g1291, g1293, g1297, g1300, g1303, g1306, g1307, g1315, g1317, g1320, g1331, g1335, g1351, g1354, g1356, g1358, g1363, g1365, g1369, g1371, g1372, g1374, g1383, g1390, g1391, g1392, g1395, g1400, g1401, g1402, g1404, g1408, g1409, g1415, g1419, g1422, g1428, g1430, g1432, g1433, g1434, g1437, g1438, g1440, g1442, g1443, g1448, g1450, g1451, g1454, g1457, g1462, g1464, g1465, g1469, g1470, g1471, g1472, g1475, g1479, g1486, g1490, g1491, g1493, g1494, g1497, g1498, g1501, g1504, g1508, g1509, g1510, g1511, g1512, g1520, g1522, g1524, g1525, g1526, g1527, g1532, g1533, g1537, g1540, g1541, g1546, g1548, g1551, g1552, g1553, g1556, g1560	46	368	17	29
LM 1	24	0.0297	0.018	251	1	NR2E1	g553, g565, g599, g786, g787, g788, g789, g790, g791, g792, g793, g794, g795, g796, g797, g798, g799, g800, g801, g802, g803, g804, g805, g806, g807, g808, g809, g810, g811, g812, g813, g814, g815, g816, g817, g818, g819, g820, g821, g822, g823, g824, g826, g827, g828, g829, g830, g831, g832, g833, g834, g835, g836, g837, g838, g839, g840, g841, g842, g843, g844, g845, g846, g847, g848, g849, g850, g851, g852, g853, g854, g855, g856, g857, g858, g859, g860, g861, g862, g863, g864, g865, g866, g867, g868, g869, g870, g871, g872, g873, g874, g875, g876, g877, g878, g879, g880, g881, g882, g883, g884, g885, g886, g887, g888, g889, g890, g891, g892, g893, g894, g895, g896, g897, g898, g899, g900, g901, g902, g903, g904, g905, g906, g907, g908, g909, g911, g912, g913, g914, g915, g916, g917, g918, g919, g920, g921, g922, g923, g924, g925, g926, g927, g928, g929, g930, g931, g932, g933, g934, g935, g936, g937, g938, g939, g940, g941, g942, g943, g944, g945, g946, g947, g948, g949, g950, g951, g952, g953, g954, g955, g956, g957, g958, g959, g960, g961, g962, g963, g964, g1157, g1163, g1170, g1176, g1179, g1180, g1187, g1190, g1193, g1195, g1202, g1203, g1204, g1207, g1208, g1215, g1219, g1221, g1222, g1223, g1225, g1229, g1230, g1231, g1233, g1234, g1237, g1238, g1239, g1240, g1245, g1251, g1256, g1257, g1259, g1260, g1261, g1266, g1268, g1270, g1272, g1273, g1275, g1277, g1279, g1286, g1287, g1290, g1292, g1294, g1299, g1301, g1303, g1304, g1305, g1312, g1313, g1316, g1322, g1324, g1327, g1328, g1332, g1333, g1334, g1337, g1343, g1346, g1348, g1353, g1357	46	252	17	29
LM 1	10	0.0198	0.025	398	1	NR2E1	g40, g50, g75, g100, g110, g111, g121, g136, g139, g406, g408, g410, g411, g412, g413, g414, g416, g418, g419, g431, g433, g435, g441, g443, g444, g447, g448, g451, g452, g453, g454, g457, g458, g461, g464, g465, g466, g467, g469, g472, g473, g480, g482, g485, g491, g492, g493, g500, g505, g509, g512, g513, g514, g518, g520, g521, g525, g532, g534, g535, g541, g543, g544, g545, g549, g550, g553, g555, g556, g560, g563, g564, g565, g566, g569, g573, g575, g576, g578, g582, g584, g585, g587, g591, g592, g593, g599, g600, g610, g611, g618, g622, g638, g656, g667, g699, g703, g706, g715, g716, g727, g732, g733, g737, g754, g756, g757, g761, g765, g775, g776, g786, g787, g788, g789, g790, g791, g792, g793, g794, g795, g796, g797, g798, g799, g800, g801, g802, g803, g804, g805, g806, g807, g808, g809, g811, g812, g813, g814, g815, g816, g817, g818, g819, g820, g821, g822, g823, g824, g825, g826, g827, g828, g829, g830, g831, g832, g833, g834, g835, g836, g837, g838, g839, g840, g841, g842, g843, g844, g845, g846, g847, g848, g849, g850, g851, g852, g853, g854, g855, g856, g857, g858, g859, g860, g861, g862, g863, g864, g865, g866, g867, g868, g869, g870, g871, g872, g873, g874, g875, g876, g877, g878, g879, g880, g881, g882, g883, g884, g885, g886, g887, g888, g889, g890, g891, g892, g893, g894, g895, g896, g897, g898, g899, g900, g901, g902, g903, g904, g905, g906, g907, g908, g909, g910, g911, g912, g913, g914, g915, g916, g917, g918, g919, g920, g921, g922, g923, g924, g925, g926, g927, g928, g929, g930, g931, g932, g933, g934, g935, g936, g937, g938, g939, g940, g941, g942, g943, g944, g945, g946, g947, g948, g949, g950, g951, g952, g953, g954, g955, g956, g957, g958, g959, g960, g961, g962, g963, g964, g1157, g1158, g1160, g1163, g1169, g1170, g1171, g1172, g1175, g1176, g1178, g1179, g1182, g1185, g1187, g1189, g1190, g1193, g1195, g1197, g1198, g1200, g1201, g1202, g1204, g1207, g1208, g1210, g1212, g1215, g1217, g1219, g1221, g1222, g1223, g1225, g1226, g1228, g1229, g1230, g1231, g1233, g1236, g1238, g1239, g1240, g1245, g1246, g1249, g1251, g1255, g1256, g1257, g1258, g1259, g1260, g1261, g1262, g1265, g1266, g1267, g1268, g1270, g1272, g1273, g1275, g1279, g1284, g1285, g1286, g1287, g1290, g1293, g1294, g1297, g1298, g1301, g1304, g1308, g1310, g1312, g1313, g1314, g1316, g1318, g1322, g1323, g1324, g1325, g1326, g1327, g1328, g1330, g1332, g1333, g1334, g1337, g1339, g1341, g1342, g1343, g1344, g1345, g1346, g1348, g1349, g1353, g1354, g1357	46	399	17	29
LM 1	17	0.0792	0.0729	386	1	NR2E1	g8, g16, g40, g47, g50, g61, g99, g100, g111, g121, g135, g139, g164, g184, g405, g407, g408, g410, g411, g413, g414, g416, g419, g423, g425, g427, g428, g429, g431, g433, g434, g435, g439, g443, g444, g448, g452, g453, g454, g457, g458, g459, g463, g464, g466, g467, g469, g472, g473, g474, g477, g480, g482, g485, g489, g492, g493, g500, g505, g509, g512, g513, g516, g518, g520, g521, g523, g525, g532, g534, g535, g538, g541, g542, g544, g545, g546, g548, g549, g550, g553, g554, g555, g556, g557, g560, g563, g564, g565, g566, g569, g570, g572, g573, g575, g578, g579, g580, g582, g584, g585, g588, g591, g596, g599, g600, g608, g611, g618, g620, g622, g631, g638, g640, g656, g668, g680, g681, g690, g696, g700, g702, g705, g706, g715, g716, g724, g732, g733, g740, g744, g756, g757, g761, g765, g770, g775, g777, g786, g787, g788, g789, g790, g791, g792, g793, g794, g795, g796, g797, g798, g799, g800, g801, g802, g803, g804, g805, g806, g807, g808, g809, g810, g811, g812, g813, g814, g815, g816, g817, g818, g819, g820, g821, g822, g823, g824, g825, g826, g827, g828, g829, g830, g831, g832, g833, g834, g835, g836, g837, g838, g839, g840, g841, g842, g843, g844, g845, g846, g847, g848, g849, g850, g851, g852, g853, g854, g855, g856, g857, g858, g859, g860, g861, g862, g863, g864, g865, g866, g867, g868, g869, g870, g871, g872, g873, g874, g875, g876, g877, g878, g879, g880, g881, g882, g883, g884, g885, g886, g887, g888, g889, g890, g891, g892, g893, g894, g895, g896, g897, g898, g899, g900, g901, g902, g903, g904, g905, g906, g907, g908, g909, g910, g911, g912, g913, g914, g915, g916, g917, g918, g919, g920, g921, g922, g923, g924, g925, g926, g927, g928, g929, g930, g931, g932, g933, g934, g935, g936, g937, g938, g939, g940, g941, g942, g943, g944, g945, g946, g947, g948, g949, g950, g951, g952, g953, g954, g955, g956, g957, g958, g959, g960, g961, g962, g963, g964, g1157, g1158, g1163, g1169, g1170, g1172, g1175, g1176, g1179, g1187, g1190, g1195, g1198, g1201, g1202, g1204, g1207, g1222, g1225, g1229, g1230, g1233, g1234, g1242, g1244, g1245, g1248, g1251, g1256, g1257, g1259, g1260, g1261, g1262, g1266, g1268, g1270, g1273, g1278, g1279, g1284, g1286, g1287, g1290, g1294, g1301, g1304, g1312, g1313, g1314, g1316, g1318, g1324, g1325, g1327, g1328, g1332, g1333, g1334, g1337, g1343, g1344, g1345, g1346, g1348, g1351, g1353, g1354, g1357	46	387	17	29
