gene-name	is-regulator	avg-all	avg-nonresp	avg-respond	avg-diff	t-pval	t-stat	wilcox-pval	wilcox-stat	num-repeats-all	num-repeats-nonresp	num-repeats-respond
g107	0	-1.11e-16	-0.281	0.165	-0.446	0.0622	-1.94	0.0837	170	1	1	1
g67	0	8.28e-17	-0.261	0.153	-0.414	0.0833	-1.8	0.339	204	2	2	1
g106	0	2.92e-16	-0.25	0.147	-0.397	0.0967	-1.72	0.179	187	2	2	1
g76	0	2.24e-16	-0.237	0.139	-0.376	0.115	-1.63	0.343	204	1	1	1
g59	0	4.46e-17	-0.222	0.13	-0.351	0.141	-1.52	0.0837	170	1	1	1
g179	0	4.63e-16	-0.221	0.13	-0.351	0.142	-1.51	0.573	221	1	1	1
g83	0	-2.61e-17	-0.217	0.127	-0.344	0.149	-1.48	0.179	187	2	2	1
g163	0	-2.05e-16	-0.211	0.123	-0.334	0.161	-1.44	0.0837	170	1	1	1
g184	0	-8.13e-17	-0.209	0.122	-0.331	0.165	-1.43	0.0837	170	1	1	1
g21	0	2.48e-16	-0.202	0.118	-0.32	0.18	-1.37	0.181	187	1	1	1
g118	0	-1.91e-16	-0.188	0.11	-0.299	0.21	-1.28	0.573	221	1	1	1
g61	0	-1.12e-16	-0.187	0.11	-0.297	0.214	-1.27	0.343	204	1	1	1
g99	0	1.23e-16	-0.182	0.106	-0.288	0.227	-1.24	0.573	221	1	1	1
g1177	0	2.19e-16	-0.18	0.106	-0.286	0.23	-1.23	0.343	204	1	1	1
g140	0	4.18e-16	-0.18	0.105	-0.285	0.232	-1.22	0.573	221	1	1	1
g147	0	5.25e-17	-0.179	0.105	-0.283	0.234	-1.22	0.0837	170	1	1	1
g60	0	-3.52e-16	-0.178	0.104	-0.282	0.237	-1.21	0.0343	153	2	2	1
g72	0	-4.5e-16	-0.173	0.101	-0.274	0.25	-1.18	0.181	187	1	1	1
g165	0	-6.14e-17	-0.171	0.1	-0.271	0.256	-1.16	0.181	187	1	1	1
g168	0	5.05e-16	-0.17	0.0996	-0.27	0.258	-1.16	0.857	238	1	1	1
g126	0	-5.34e-16	-0.17	0.0994	-0.269	0.259	-1.15	0.343	204	1	1	1
g751	0	3.4e-16	-0.169	0.0989	-0.268	0.261	-1.15	0.181	187	1	1	1
g143	0	-1.08e-16	-0.168	0.0988	-0.267	0.262	-1.14	0.573	221	1	1	1
g54	0	-2.35e-16	-0.168	0.0986	-0.267	0.263	-1.14	0.569	221	2	2	1
HOXD9	1	3.64	3.67	3.63	0.0439	0.285	1.09	0.343	289	1	1	1
g138	0	3.37e-16	-0.159	0.093	-0.252	0.291	-1.08	0.573	221	1	1	1
g183	0	-3.74e-16	-0.157	0.0922	-0.249	0.295	-1.07	0.857	255	1	1	1
g100	0	-1.55e-16	-0.157	0.0922	-0.25	0.295	-1.07	0.573	221	1	1	1
g43	0	4.05e-16	-0.154	0.0905	-0.245	0.304	-1.05	0.181	187	1	1	1
g44	0	3.29e-16	-0.154	0.0901	-0.244	0.306	-1.04	0.857	238	1	1	1
g197	0	5.05e-16	-0.149	0.0871	-0.236	0.322	-1.01	0.0837	170	1	1	1
g71	0	-2.02e-16	-0.146	0.0857	-0.232	0.33	-0.992	0.343	204	1	1	1
g55	0	2.65e-16	-0.146	0.0853	-0.231	0.332	-0.987	0.857	255	1	1	1
g181	0	1.41e-16	-0.143	0.0838	-0.227	0.341	-0.969	0.0333	153	1	1	1
g64	0	-1.51e-16	-0.143	0.0836	-0.226	0.342	-0.966	0.573	221	1	1	1
g196	0	-1.58e-16	-0.138	0.0809	-0.219	0.358	-0.935	0.0837	170	1	1	1
g134	0	-1.61e-17	-0.137	0.0803	-0.217	0.361	-0.928	0.343	204	1	1	1
g182	0	7.67e-17	-0.137	0.0801	-0.217	0.363	-0.925	0.573	221	1	1	1
g115	0	-4.68e-16	-0.136	0.0798	-0.216	0.364	-0.923	0.573	221	1	1	1
g135	0	1.78e-16	-0.135	0.0791	-0.214	0.369	-0.914	0.573	221	1	1	1
g155	0	1.97e-16	-0.134	0.0784	-0.212	0.373	-0.906	0.573	221	1	1	1
g104	0	-1.52e-16	-0.131	0.077	-0.208	0.381	-0.89	0.343	204	1	1	1
g1341	0	4.57e-16	-0.131	0.077	-0.208	0.381	-0.89	0.181	187	1	1	1
g93	0	-5.72e-17	-0.131	0.0767	-0.208	0.383	-0.886	0.0837	170	2	2	1
g75	0	3.59e-16	-0.129	0.0758	-0.205	0.389	-0.876	0.339	204	2	2	1
g116	0	-1.96e-17	-0.128	0.0751	-0.203	0.393	-0.868	0.569	221	2	2	1
g65	0	2.87e-17	-0.128	0.075	-0.203	0.394	-0.867	0.569	221	2	2	1
g73	0	-5.22e-17	-0.127	0.0745	-0.201	0.397	-0.86	0.857	238	1	1	1
g58	0	-7.63e-17	0.127	-0.0743	0.201	0.398	0.858	0.569	272	2	2	1
g40	0	-1.45e-16	-0.127	0.0743	-0.201	0.398	-0.858	0.856	238	2	2	1
g110	0	7.75e-17	-0.125	0.0735	-0.199	0.403	-0.849	0.343	204	1	1	1
g150	0	1.51e-18	-0.124	0.0727	-0.197	0.408	-0.84	0.179	187	2	2	1
g158	0	-1.9e-16	-0.123	0.0724	-0.196	0.41	-0.836	0.179	187	2	2	1
g199	0	-1.75e-16	-0.123	0.0723	-0.196	0.411	-0.835	0.343	204	1	1	1
g32	0	-1.72e-16	-0.123	0.0719	-0.195	0.413	-0.831	0.857	238	1	1	1
g139	0	1.46e-16	-0.122	0.0715	-0.193	0.416	-0.825	0.857	238	1	1	1
g128	0	2.31e-16	-0.121	0.0712	-0.193	0.418	-0.822	0.343	204	1	1	1
g121	0	2.44e-16	-0.121	0.0712	-0.193	0.418	-0.822	0.857	238	1	1	1
g11	0	8.37e-17	-0.161	0.0944	-0.255	0.419	-0.819	0.47	214	1	1	1
g173	0	-2.83e-16	-0.121	0.0708	-0.192	0.42	-0.818	0.856	238	2	2	1
g26	0	-1.89e-16	-0.12	0.0706	-0.191	0.422	-0.815	0.339	204	2	2	1
g20	0	6.94e-18	-0.12	0.0706	-0.191	0.422	-0.815	0.857	255	1	1	1
g137	0	2.28e-16	-0.12	0.0705	-0.191	0.423	-0.813	0.573	272	1	1	1
g148	0	-1.6e-17	-0.12	0.0704	-0.19	0.423	-0.813	0.857	255	1	1	1
g117	0	-1.26e-16	-0.12	0.0702	-0.19	0.424	-0.811	0.573	221	1	1	1
g162	0	-2.29e-16	-0.119	0.0698	-0.189	0.427	-0.805	0.573	221	1	1	1
g153	0	3.05e-16	-0.117	0.0686	-0.186	0.435	-0.792	0.857	255	1	1	1
g38	0	-2.6e-16	-0.117	0.0687	-0.186	0.435	-0.793	0.573	221	1	1	1
g37	0	-3.05e-17	-0.117	0.0685	-0.185	0.436	-0.791	0.181	306	1	1	1
g69	0	1.34e-16	-0.116	0.0682	-0.185	0.438	-0.787	0.179	187	3	3	1
g1546	0	1.89e-16	0.161	-0.0941	0.255	0.443	0.778	0.404	284	1	1	1
g108	0	-1.76e-16	-0.115	0.0672	-0.182	0.444	-0.776	0.181	187	1	1	1
g192	0	6.83e-17	-0.114	0.0669	-0.181	0.447	-0.771	0.569	221	2	2	1
g30	0	1.85e-16	-0.113	0.0665	-0.18	0.449	-0.767	0.573	221	1	1	1
g23	0	1.6e-17	-0.113	0.0662	-0.179	0.451	-0.764	0.181	187	1	1	1
g27	0	1.19e-16	-0.113	0.066	-0.179	0.453	-0.761	0.573	221	1	1	1
g157	0	9.23e-17	-0.112	0.0659	-0.178	0.454	-0.76	0.573	221	1	1	1
g202	0	5.24e-17	-0.111	0.0654	-0.177	0.457	-0.754	0.181	187	1	1	1
g114	0	4.13e-16	-0.11	0.0646	-0.175	0.462	-0.745	0.857	255	1	1	1
g52	0	-8.78e-17	-0.11	0.0644	-0.174	0.463	-0.743	0.573	221	1	1	1
g111	0	4.58e-16	-0.108	0.0632	-0.171	0.472	-0.729	0.569	221	2	2	1
g124	0	-2.24e-16	-0.108	0.0632	-0.171	0.472	-0.729	0.856	238	2	2	1
g187	0	1.83e-17	-0.106	0.062	-0.168	0.481	-0.715	0.181	187	1	1	1
g63	0	2.27e-16	-0.103	0.0605	-0.164	0.491	-0.698	0.857	255	1	1	1
g169	0	1.38e-16	-0.103	0.0604	-0.163	0.492	-0.697	0.569	221	2	2	1
g129	0	-7.89e-17	-0.103	0.0603	-0.163	0.493	-0.695	0.573	221	1	1	1
g39	0	-8.18e-17	-0.102	0.06	-0.162	0.494	-0.692	0.573	221	1	1	1
g146	0	-1.75e-16	-0.102	0.06	-0.162	0.495	-0.692	0.857	255	1	1	1
g13	0	-4.8e-16	-0.131	0.077	-0.208	0.498	-0.685	0.736	231	1	1	1
g198	0	-3.13e-16	-0.1	0.0587	-0.159	0.504	-0.676	0.343	204	1	1	1
g22	0	-2.05e-16	-0.0992	0.0582	-0.157	0.508	-0.671	0.181	187	1	1	1
g102	0	-3.37e-16	-0.0984	0.0577	-0.156	0.512	-0.665	0.339	204	2	2	1
g82	0	-1.17e-16	-0.0938	0.055	-0.149	0.531	-0.634	0.339	204	2	2	1
g119	0	-2.52e-16	-0.0925	0.0542	-0.147	0.537	-0.625	0.343	204	1	1	1
g176	0	1.33e-16	-0.0916	0.0537	-0.145	0.541	-0.618	0.343	204	1	1	1
g185	0	4.5e-17	-0.0904	0.053	-0.143	0.546	-0.611	0.857	255	1	1	1
g1203	0	-1.14e-16	-0.0894	0.0524	-0.142	0.551	-0.604	0.857	255	1	1	1
g112	0	-4.69e-17	-0.0892	0.0523	-0.142	0.552	-0.603	0.573	221	1	1	1
g1231	0	1.52e-16	-0.0891	0.0523	-0.141	0.552	-0.602	0.857	255	1	1	1
g1186	0	1.52e-16	-0.0888	0.0521	-0.141	0.553	-0.6	0.857	255	1	1	1
g144	0	-2.34e-16	-0.0876	0.0513	-0.139	0.559	-0.591	0.573	221	1	1	1
g133	0	-7.35e-17	-0.0872	0.0511	-0.138	0.56	-0.589	0.573	272	1	1	1
g18	0	-1.09e-16	-0.0871	0.0511	-0.138	0.561	-0.589	0.857	255	1	1	1
g1300	0	1.13e-16	-0.0867	0.0508	-0.138	0.563	-0.586	0.343	204	1	1	1
g57	0	-1.94e-16	-0.0861	0.0505	-0.137	0.566	-0.581	0.573	272	1	1	1
g125	0	-1.44e-16	-0.0854	0.05	-0.135	0.569	-0.576	0.573	221	1	1	1
g62	0	-1.58e-16	-0.0842	0.0494	-0.134	0.574	-0.569	0.343	204	1	1	1
