user_gene_set	property_gene_set	universe_count	user_count	property_count	overlap_count	pval
VBSR.1.mod.1	VBSR.1.mod.2	2004	188	213	0	0
VBSR.1.mod.1	VBSR.1.mod.28	2004	188	212	0	0
VBSR.1.mod.1	VBSR.1.mod.34	2004	188	200	0	0
VBSR.1.mod.1	VBSR.1.mod.5	2004	188	184	0	0
VBSR.1.mod.11	VBSR.1.mod.16	2004	211	198	0	0
VBSR.1.mod.11	VBSR.1.mod.17	2004	211	302	0	0
VBSR.1.mod.16	VBSR.1.mod.17	2004	198	302	0	0
VBSR.1.mod.2	VBSR.1.mod.47	2004	213	183	0	0
VBSR.1.mod.2	VBSR.1.mod.5	2004	213	184	0	0
VBSR.1.mod.21	VBSR.1.mod.25	2004	202	169	0	0
VBSR.1.mod.21	VBSR.1.mod.28	2004	202	212	0	0
VBSR.1.mod.21	VBSR.1.mod.34	2004	202	200	0	0
VBSR.1.mod.25	VBSR.1.mod.28	2004	169	212	0	0
VBSR.1.mod.28	VBSR.1.mod.41	2004	212	192	0	0
VBSR.1.mod.31	VBSR.1.mod.34	2004	202	200	0	0
VBSR.1.mod.31	VBSR.1.mod.37	2004	202	183	0	0
VBSR.1.mod.34	VBSR.1.mod.37	2004	200	183	0	0
VBSR.1.mod.34	VBSR.1.mod.41	2004	200	192	0	0
VBSR.1.mod.41	VBSR.1.mod.44	2004	192	211	0	0
VBSR.1.mod.41	VBSR.1.mod.47	2004	192	183	0	0
VBSR.1.mod.44	VBSR.1.mod.47	2004	211	183	0	0
VBSR.1.mod.44	VBSR.1.mod.5	2004	211	184	0	0
VBSR.1.mod.17	VBSR.1.mod.21	2004	302	202	1	4.34e-16
VBSR.1.mod.17	VBSR.1.mod.31	2004	302	202	1	4.34e-16
VBSR.1.mod.17	VBSR.1.mod.5	2004	302	184	1	7.81e-15
VBSR.1.mod.17	VBSR.1.mod.47	2004	302	183	1	9.55e-15
VBSR.1.mod.17	VBSR.1.mod.41	2004	302	192	2	7.16e-14
VBSR.1.mod.1	VBSR.1.mod.17	2004	188	302	2	1.45e-13
VBSR.1.mod.17	VBSR.1.mod.25	2004	302	169	2	4e-12
VBSR.1.mod.17	VBSR.1.mod.37	2004	302	183	3	6.46e-12
VBSR.1.mod.16	VBSR.1.mod.31	2004	198	202	1	9.82e-11
VBSR.1.mod.11	VBSR.1.mod.37	2004	211	183	1	2.2e-10
VBSR.1.mod.16	VBSR.1.mod.41	2004	198	192	1	3.13e-10
VBSR.1.mod.1	VBSR.1.mod.16	2004	188	198	1	4.97e-10
VBSR.1.mod.28	VBSR.1.mod.31	2004	212	202	2	5.18e-10
VBSR.1.mod.34	VBSR.1.mod.5	2004	200	184	1	6.36e-10
