gene-name	is-regulator	avg-all	avg-nonresp	avg-respond	avg-diff	t-pval	t-stat	wilcox-pval	wilcox-stat	num-repeats-all	num-repeats-nonresp	num-repeats-respond
HCG27	0	3.71	3.64	3.76	-0.121	0.000112	-4.24	0.000439	97	1	1	1
PTPN6	0	4.02	3.99	4.04	-0.0538	0.00117	-3.47	0.0129	138	1	1	1
CLEC1B	0	2.97	2.72	3.11	-0.397	0.00121	-3.51	0.00175	108	2	1	1
CFP	0	3.72	3.61	3.78	-0.169	0.00187	-3.35	0.00135	109	1	1	1
GCA	0	4.02	3.98	4.05	-0.0633	0.00197	-3.29	0.00314	119	1	1	1
MMP25	0	3.87	3.81	3.91	-0.0982	0.00219	-3.26	0.00467	124	1	1	1
LOC100507217	0	4.16	4.13	4.17	-0.0402	0.00243	-3.28	0.00221	112	2	1	1
MS4A1	0	3.44	3.26	3.55	-0.285	0.00247	-3.29	0.00414	120	2	1	2
PRAM1	0	3.76	3.67	3.82	-0.141	0.00275	-3.19	0.00632	128	1	1	1
C19orf38	0	3.63	3.55	3.67	-0.129	0.0029	-3.16	0.00909	133	1	1	1
LILRA5	0	3.59	3.47	3.66	-0.188	0.00335	-3.11	0.00504	125	1	1	1
MTMR3	0	4.02	4	4.04	-0.0322	0.00337	-3.1	0.00504	125	1	1	1
CSF3R	0	3.91	3.81	3.96	-0.153	0.00353	-3.11	0.00467	124	1	1	1
FOLR3	0	3.37	3.19	3.48	-0.288	0.00392	-3.07	0.00467	124	1	1	1
IPCEF1	0	3.59	3.52	3.63	-0.104	0.00462	-3	0.0105	135	1	1	1
CDA	0	3.72	3.64	3.77	-0.132	0.0048	-2.99	0.012	137	1	1	1
EMR3	0	3.27	3.06	3.39	-0.331	0.00511	-2.98	0.00369	121	1	1	1
SLCO4C1	0	3.09	2.89	3.21	-0.322	0.0056	-2.94	0.0127	136	2	1	2
ANKLE1	0	3.58	3.51	3.62	-0.108	0.00566	-2.92	0.0204	145	1	1	1
NCF1	0	3.59	3.5	3.65	-0.157	0.00592	-2.9	0.0157	141	1	1	1
EMR1	0	3.43	3.31	3.5	-0.191	0.00595	-2.94	0.00429	120	2	1	1
ITGA2B	0	3.55	3.45	3.61	-0.16	0.00732	-2.85	0.00586	127	1	1	1
TREML2	0	3.16	2.95	3.29	-0.342	0.00742	-2.88	0.00788	131	1	1	1
PPBP	0	3.58	3.37	3.7	-0.323	0.00789	-2.85	0.00467	124	1	1	1
WBP2	0	4.15	4.13	4.17	-0.0333	0.00817	-2.88	0.00847	132	1	1	1
SNX11	0	3.99	3.97	4	-0.0296	0.00859	-2.81	0.0231	147	1	1	1
TNFRSF10C	0	3.66	3.57	3.71	-0.146	0.00952	-2.72	0.0191	144	1	1	1
CEACAM4	0	3.44	3.3	3.52	-0.211	0.0106	-2.68	0.0147	140	1	1	1
HAL	0	3.48	3.4	3.53	-0.133	0.0107	-2.67	0.0278	150	1	1	1
APOBEC3A	0	3.59	3.49	3.65	-0.167	0.011	-2.66	0.0191	144	1	1	1
FCN1	0	3.85	3.74	3.92	-0.187	0.0112	-2.66	0.012	137	1	1	1
CRB1	0	2.59	2.38	2.71	-0.331	0.0113	-2.72	0.0168	142	1	1	1
IL17RA	0	3.93	3.9	3.94	-0.0387	0.0115	-2.64	0.0444	158	1	1	1
VSTM1	0	3.19	2.98	3.31	-0.337	0.0119	-2.65	0.0179	143	1	1	1
PGLYRP1	0	3.61	3.47	3.7	-0.227	0.0125	-2.63	0.0262	149	1	1	1
HP	0	3.47	3.26	3.6	-0.342	0.0127	-2.62	0.0157	141	1	1	1
BCL2L15	0	3.44	3.37	3.49	-0.117	0.0137	-2.58	0.0262	149	1	1	1
FUT6	0	2.69	2.88	2.58	0.292	0.0138	2.58	0.0231	346	1	1	1
LILRA2	0	3.68	3.59	3.74	-0.143	0.0142	-2.59	0.0231	147	1	1	1
FAM117A	0	3.97	3.95	3.99	-0.047	0.0144	-2.55	0.0683	166	1	1	1
GYPE	0	3.47	3.36	3.53	-0.166	0.0155	-2.56	0.0296	151	1	1	1
CEACAM21	0	3.55	3.47	3.6	-0.125	0.0155	-2.56	0.0353	154	1	1	1
SIRPB1	0	3.47	3.33	3.56	-0.231	0.0156	-2.55	0.0138	139	1	1	1
CXCR1	0	3.57	3.45	3.64	-0.19	0.016	-2.51	0.0112	136	1	1	1
CYP4F3	0	3.47	3.33	3.56	-0.228	0.0164	-2.5	0.0314	152	1	1	1
CCDC50	0	4.02	3.99	4.04	-0.0454	0.0183	-2.48	0.0191	144	1	1	1
