key	reg	target	all.pearson	all.pearson.pvalue	nonresp.pearson	nonresp.pearson.pvalue	respond.pearson	respond.pearson.pvalue	all.spearman	all.spearman.pvalue	nonresp.spearman	nonresp.spearman.pvalue	respond.spearman	respond.spearman.pvalue	support	chip.evidence	num.chip.peaks	all.weights	nonresp.weights	respond.weights
CRB1||ZNF594	ZNF594	CRB1	-0.338069251854371	0.0215666679995429	-0.161488924840205	0.535781162586677	-0.367827824214893	0.049631718286271	-0.232809127351218	0.119344424647361	-0.299019607843137	0.242955467684265	-0.0748768472906404	0.698580938441201	0	0	0	-2.16283813033296	0	0
LOC283392||KLF1	KLF1	LOC283392	0.399940117447328	0.00588998169186965	0.0814915901571717	0.75585924697821	0.530542029142656	0.00306932020965369	0.475917360468702	0.000947135756350449	0.205882352941176	0.426417271161064	0.565024630541872	0.00168155496153629	0	0	0	-1.24031433711216	0	0
IGLL1||NFE2	NFE2	IGLL1	0.465331328271506	0.0011197158869541	0.426955066079526	0.0874058854954217	0.436622585307345	0.0178797946408122	0.518223866790009	0.000275121880538062	0.316176470588235	0.215920867018769	0.570443349753694	0.00148847834732385	0	0	0	-1.00842416938232	0	-1.22808466646226
CRB1||KLF1	KLF1	CRB1	0.338774340180207	0.0212781969016014	0.131919847742875	0.613766443567838	0.431132367313356	0.0195433795042112	0.354424915201973	0.0161200276782291	0.188725490196078	0.466762824528651	0.413793103448276	0.0265280125915149	0	0	0	-0.843902249203617	0	0
LRRTM3||CEBPE	CEBPE	LRRTM3	0.182289383115286	0.225316307593476	-0.0122842337361027	0.9626785187842	0.257098021410247	0.178181510148406	0.250277538406189	0.0934317943393442	-0.127450980392157	0.625399970119372	0.417836918322352	0.0241051515536547	0	0	0	-0.838812666199659	0	0
SLC22A16||NFE2	NFE2	SLC22A16	0.386219488238944	0.00802253050506841	0.498872201979851	0.041499845093545	0.359854873914152	0.0551833412816399	0.506506321307431	0.00039330697730232	0.443627450980392	0.0761683611951501	0.591625615763547	0.000906193103727233	0	0	0	-0.796306172774719	0	-1.06975999136093
KIAA1210||NFE2	NFE2	KIAA1210	-0.0550792263699063	0.71618589059406	0.172597485793967	0.507694423801179	-0.159046085863064	0.4098943819524	-0.0517454053037931	0.73270847122727	-0.0980392156862745	0.708395821769233	-0.0945812807881773	0.624290734016782	0	0	0	-0.660949463291791	0	-0.890248524363676
BEND2||KLF1	KLF1	BEND2	0.320240278331486	0.0300296913967729	0.172829956766303	0.507114150768913	0.350514463843042	0.0622953990798946	0.33895587299103	0.021204454169224	0.340895220419977	0.180566166993512	0.319211822660098	0.0917709981984541	0	0	0	-0.62451654198567	-1.0308162011474	0
MS4A1||KLF1	KLF1	MS4A1	0.500437532379169	0.000397512111657264	0.473838742430745	0.054677648527358	0.537169140200642	0.00265820385798448	0.563569644721986	4.54048752796777e-05	0.544117647058824	0.0259558515382696	0.539721644690009	0.00251302022433753	0	0	0	-0.583204401483022	0	0
AGAP2||ZNF594	ZNF594	AGAP2	-0.672032648084796	3.15642561224644e-07	-0.596738703100815	0.011445373328329	-0.6885338551527	3.64247184099421e-05	-0.503792784458834	0.000426522057408655	-0.473039215686275	0.05709361550314	-0.50295566502463	0.00598876028724423	0	0	0	-0.568265169566764	0	-0.541406833672213
