user_gene_set	property_gene_set	universe_count	user_count	property_count	overlap_count	pval
VBSR.1.mod.103	VBSR.1.mod.120	21302	60	168	0	0
VBSR.1.mod.103	VBSR.1.mod.129	21302	60	52	0	0
VBSR.1.mod.103	VBSR.1.mod.156	21302	60	118	0	0
VBSR.1.mod.103	VBSR.1.mod.183	21302	60	105	0	0
VBSR.1.mod.103	VBSR.1.mod.205	21302	60	87	0	0
VBSR.1.mod.103	VBSR.1.mod.259	21302	60	320	0	0
VBSR.1.mod.103	VBSR.1.mod.261	21302	60	154	0	0
VBSR.1.mod.103	VBSR.1.mod.288	21302	60	240	0	0
VBSR.1.mod.103	VBSR.1.mod.301	21302	60	23	0	0
VBSR.1.mod.103	VBSR.1.mod.363	21302	60	78	0	0
VBSR.1.mod.103	VBSR.1.mod.396	21302	60	137	0	0
VBSR.1.mod.103	VBSR.1.mod.433	21302	60	242	0	0
VBSR.1.mod.103	VBSR.1.mod.470	21302	60	216	0	0
VBSR.1.mod.103	VBSR.1.mod.517	21302	60	194	0	0
VBSR.1.mod.103	VBSR.1.mod.519	21302	60	177	0	0
VBSR.1.mod.103	VBSR.1.mod.547	21302	60	117	0	0
VBSR.1.mod.103	VBSR.1.mod.580	21302	60	126	0	0
VBSR.1.mod.103	VBSR.1.mod.583	21302	60	318	0	0
VBSR.1.mod.103	VBSR.1.mod.59	21302	60	172	0	0
VBSR.1.mod.103	VBSR.1.mod.594	21302	60	117	0	0
VBSR.1.mod.103	VBSR.1.mod.623	21302	60	175	0	0
VBSR.1.mod.103	VBSR.1.mod.631	21302	60	103	0	0
VBSR.1.mod.103	VBSR.1.mod.658	21302	60	171	0	0
VBSR.1.mod.103	VBSR.1.mod.669	21302	60	230	0	0
VBSR.1.mod.103	VBSR.1.mod.671	21302	60	341	0	0
VBSR.1.mod.103	VBSR.1.mod.676	21302	60	194	0	0
VBSR.1.mod.103	VBSR.1.mod.689	21302	60	208	0	0
VBSR.1.mod.103	VBSR.1.mod.690	21302	60	138	0	0
VBSR.1.mod.103	VBSR.1.mod.70	21302	60	107	0	0
VBSR.1.mod.103	VBSR.1.mod.706	21302	60	141	0	0
VBSR.1.mod.103	VBSR.1.mod.791	21302	60	201	0	0
VBSR.1.mod.103	VBSR.1.mod.797	21302	60	90	0	0
