"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","richFactor","FoldEnrichment"
"GO:0030099","myeloid cell differentiation","10/33","494/21066",2.62040473202137e-09,2.42911518658381e-06,1.57775948075392e-06,"CEBPE/GATA1/KLF1/NFE2/IRF4/KLF10/TAL1/RUNX1/EPAS1/BATF3",10,0.0202429149797571,12.9223408170777
"GO:0045165","cell fate commitment","8/33","279/21066",8.92346417569888e-09,4.13602564543643e-06,2.68643237289461e-06,"GATA1/PRRX1/IRF4/PAX6/TAL1/EPAS1/SOX1/ID2",8,0.028673835125448,18.3043336591724
"GO:0002573","myeloid leukocyte differentiation","7/33","249/21066",9.73869898630586e-08,3.00925798676851e-05,1.9545739719884e-05,"CEBPE/GATA1/IRF4/KLF10/TAL1/RUNX1/BATF3",7,0.0281124497991968,17.9459656809054
"GO:0030851","granulocyte differentiation","4/33","34/21066",2.23809028561938e-07,5.1867742369229e-05,3.36891485098496e-05,"CEBPE/GATA1/TAL1/RUNX1",4,0.117647058823529,75.1016042780749
"GO:0048663","neuron fate commitment","4/33","61/21066",2.44463797473655e-06,0.000453235880516157,0.000294385878220907,"PRRX1/PAX6/SOX1/ID2",4,0.0655737704918033,41.8599105812221
"GO:1903706","regulation of hemopoiesis","7/33","491/21066",9.04412881445931e-06,0.00139731790183396,0.00090758625997732,"GATA1/NFE2/MYB/IRF4/KLF10/TAL1/RUNX1",7,0.0142566191446029,9.10090723940011
"GO:1902036","regulation of hematopoietic stem cell differentiation","4/33","93/21066",1.32038124730751e-05,0.00174856202322008,0.00113572642625548,"GATA1/MYB/TAL1/RUNX1",4,0.043010752688172,27.4565004887586
"GO:0060218","hematopoietic stem cell differentiation","4/33","107/21066",2.29805573833597e-05,0.00237530774401024,0.0015428104577004,"GATA1/MYB/TAL1/RUNX1",4,0.0373831775700935,23.8640611724724
"GO:0030219","megakaryocyte differentiation","4/33","108/21066",2.38381577560064e-05,0.00237530774401024,0.0015428104577004,"GATA1/NFE2/TAL1/RUNX1",4,0.037037037037037,23.6430976430976
"GO:1901532","regulation of hematopoietic progenitor cell differentiation","4/33","110/21066",2.56236002590101e-05,0.00237530774401024,0.0015428104577004,"GATA1/MYB/TAL1/RUNX1",4,0.0363636363636364,23.2132231404959
