"driver","target","p_value","multiplicity"
"ELK3","CLASP1","9.28e-05",9
"ELK3","SH3BP5","9.28e-05",9
"ELK3","ARL10","9.28e-05",9
"ELK3","SEPP1","9.28e-05",9
"ELK3","RAPGEF1","9.28e-05",9
"ELK3","MYO18A","9.28e-05",9
"ELK3","DUSP18","9.28e-05",9
"ELK3","SRGAP2P2","2.05e-04",8
"ELK3","ARL15","2.05e-04",8
"ELK3","FAM65A","2.05e-04",8
"ELK3","TAX1BP3","1.92e-04",8
"ELK3","RAB11B","2.05e-04",8
"ELK3","ACTN4","4.56e-04",7
"ELK3","MAP3K12","4.66e-04",7
"ELK3","PIK3CA","4.66e-04",7
"ELK3","NCK1","1.06e-03",6
"MXD1","GCA","1.07e-04",9
"MXD1","MMP25","2.42e-04",8
"MXD1","SEPX1","2.37e-04",8
"MXD1","PTPN6","4.64e-04",7
"MXD1","HBQ1","5.83e-04",7
"MXD1","EPB49","1.13e-03",6
"MXD1","KEL","1.28e-02",3
"MYB","ITGA2B","8.95e-03",4
"MYB","FAM178B","4.40e-02",2
"MYB","ERMAP","3.77e-02",1
"MYB","GCA","3.77e-02",1
"MYB","NRGN","3.77e-02",1
"MYB","HBQ1","3.77e-02",1
"MYB","SEPX1","3.77e-02",1
"ZNF91","GEMIN5","1.39e-03",5
"ZNF91","RSBN1","3.19e-03",4
"ZNF91","MACROD2","6.48e-03",3
"ZNF3","NUDCD3","3.06e-05",8
"ZNF3","STYXL1","3.06e-05",8
"ZNF3","C7orf59","9.40e-05",7
"ZNF3","PSMG3","1.90e-04",6
"ZNF3","DTX2","5.92e-04",5
"ZNF3","LRRC27","3.96e-02",1
